names,scores,logfoldchanges,pvals,pvals_adj
CYBRD1,-0.51493335,-1.623454,0.6065995847937415,1.0
ARHGEF10,-0.51498365,-0.8165371,0.6065644288184178,1.0
DMXL1,-0.51538485,-0.04743971,0.6062841074100165,1.0
FSIP1,-0.5157886,-0.2991765,0.606002057128376,1.0
ZNF75A,-0.5158432,-0.0452162,0.605963938680691,1.0
RASA1,-0.516316,-0.02864371,0.6056337229994535,1.0
DNAJC3-DT,-0.51635563,-0.4506687,0.6056060349950995,1.0
NPIPB2,-0.51642555,-0.47214535,0.605557210218117,1.0
GADD45A,-0.51652277,-0.085086405,0.6054893347988597,1.0
ZNF518B,-0.5171222,-0.11636269,0.6050708450364162,1.0
UBR4,-0.51768625,-0.020555252,0.6046771783054203,1.0
ZNF558,-0.5183902,-0.21209067,0.6041860743911664,1.0
EMC8,-0.52025247,-0.04364081,0.6028876403717824,1.0
ZNF579,-0.5204302,-0.14350773,0.6027637484257615,1.0
TCEANC2,-0.5209478,-0.17370518,0.6024031306694682,1.0
PPARA,-0.5212296,-0.0616739,0.6022068220075454,1.0
KIF13A,-0.52192926,-0.48215365,0.6017195903783329,1.0
LINC01344,-0.5219868,-0.70447415,0.6016795152541083,1.0
MRPL20,-0.5220222,-0.022448884,0.6016548770716904,1.0
NCK1-DT,-0.5220708,-0.115530245,0.601621037418419,1.0
DOCK9-DT,-0.52220213,-1.3057679,0.6015296152807083,1.0
ZNF324,-0.52270645,-0.089600734,0.6011785294506766,1.0
HAT1,-0.5229985,-0.017043153,0.6009752802980335,1.0
LRRC37A,-0.52355236,-0.23440418,0.6005899339521141,1.0
PRDM15,-0.5235792,-0.15677099,0.6005712479390708,1.0
GPRASP1,-0.52392155,-0.32645437,0.6003330984477235,1.0
TRMT10A,-0.52415437,-0.24695717,0.6001711930501312,1.0
SEL1L,-0.5242136,-0.01976458,0.6001299785299503,1.0
LINC01410,-0.52450776,-0.19641542,0.5999254074205047,1.0
TTN-AS1,-0.5246719,-0.04103463,0.5998112763889272,1.0
CSTF3-DT,-0.52533233,-0.6286797,0.5993521836103664,1.0
PDCD4-AS1,-0.52591985,-0.15823247,0.5989439056723863,1.0
CENPA,-0.5264856,-0.16855095,0.5985508573790936,1.0
PPIL6,-0.5272402,-0.6679795,0.5980267777389944,1.0
GRAMD1C,-0.5277638,-0.48036548,0.5976633014618675,1.0
SNX11,-0.52851117,-0.07845796,0.5971446042073256,1.0
GMEB1,-0.52884924,-0.062279303,0.5969100297737127,1.0
GPR132,-0.5290556,-0.032650437,0.5967668801097644,1.0
SMC4,-0.5291008,-0.02428927,0.5967355312361369,1.0
MRE11,-0.52911955,-0.041388843,0.5967225187162906,1.0
FAM50B,-0.5292922,-0.24286835,0.5966027504521714,1.0
MBD1,-0.52938,-0.01979924,0.5965418354851069,1.0
MAP3K7,-0.5294265,-0.04358264,0.5965096049249408,1.0
ZNF362,-0.52955526,-0.03692194,0.5964203097170158,1.0
PTPN22,-0.5298695,-0.033956483,0.596202419488554,1.0
C14orf178,-0.53051454,-1.1126807,0.5957552225732996,1.0
EIF1AX,-0.53084457,-0.02575352,0.5955265107969587,1.0
RGS18,-0.53085816,-0.28802797,0.5955170558751688,1.0
C1orf54,-0.5308987,-0.23712954,0.5954889869795166,1.0
PRAM1,-0.53309435,-0.60241693,0.5939682614668661,1.0
SPATA6L,-0.5331809,-0.20080373,0.5939083547147509,1.0
SYDE2,-0.53351,-0.49633482,0.5936805572414128,1.0
LIN7B,-0.5336375,-0.13126418,0.5935923407262125,1.0
DMWD,-0.5345175,-0.042450454,0.5929835449787535,1.0
HIP1R,-0.5346885,-0.067252755,0.5928652995505218,1.0
LRRC42,-0.5348961,-0.11200741,0.5927217092881607,1.0
MED9,-0.5352214,-0.09258524,0.5924967734471005,1.0
SPEN,-0.53536594,-0.02998801,0.5923968472816324,1.0
IL6R,-0.535548,-0.49720067,0.5922709925835071,1.0
OTUD3,-0.5356098,-0.12801808,0.5922282578302004,1.0
ST8SIA1,-0.53614783,-0.12533547,0.5918563778779417,1.0
HSD17B4,-0.5372704,-0.051644687,0.5910808438248871,1.0
AACS,-0.5373996,-0.22588192,0.5909916270155213,1.0
TRAV8-2,-0.5376443,-0.14123651,0.5908226326145882,1.0
TTC28,-0.53772444,-1.0018877,0.5907672873652987,1.0
ACVR2B,-0.5380016,-0.47530675,0.5905759524920272,1.0
XRRA1,-0.53849745,-0.02957296,0.5902336814334739,1.0
LRFN1,-0.5386326,-0.38566014,0.5901404041355005,1.0
THOC6,-0.53889906,-0.07320494,0.5899565176829942,1.0
KLF16,-0.53904355,-0.12647541,0.5898567887152495,1.0
CPNE8,-0.539099,-0.09736109,0.589818546629234,1.0
CCDC146,-0.5393207,-0.07338232,0.5896655897123594,1.0
HDDC3,-0.5393433,-0.044400908,0.5896500008996122,1.0
PLAGL1,-0.5395982,-0.20972547,0.5894741251973507,1.0
SLC31A2,-0.54027486,-0.29055503,0.589007495464716,1.0
AZIN2,-0.54028124,-0.3454995,0.5890030857891198,1.0
RFPL1S,-0.54029405,-0.8760002,0.5889942664836358,1.0
AMIGO2,-0.5403277,-0.107706614,0.5889710426040897,1.0
ASB14,-0.5403742,-0.5749224,0.5889390002236496,1.0
PLN,-0.54053664,-0.7952419,0.5888270051976036,1.0
NCBP3,-0.5406854,-0.036780857,0.5887244252068597,1.0
RDH11,-0.5407046,-0.042367585,0.5887111991610805,1.0
ZNF605,-0.5414835,-0.12393807,0.5881743376053302,1.0
MTERF2,-0.54229784,-0.101660416,0.587613328661784,1.0
KRBOX4,-0.5426641,-0.03374646,0.58736110222925,1.0
NBPF10,-0.54284316,-0.2150439,0.5872377967219522,1.0
CCDC144NL-AS1,-0.5429084,-0.8956171,0.587192881265268,1.0
SPRY3,-0.54312414,-0.5367607,0.5870443486663198,1.0
MRPL32,-0.5434392,-0.049464364,0.5868274518901827,1.0
SWI5,-0.543449,-0.063701734,0.5868207019773586,1.0
NR6A1,-0.5437001,-0.3982614,0.586647857770781,1.0
SPIN3,-0.54453576,-0.83504635,0.5860728585499864,1.0
ZNF12,-0.54461247,-0.024958756,0.5860200656094313,1.0
SMYD5,-0.5451232,-0.25728872,0.5856687554817739,1.0
ECT2L,-0.54540294,-0.93938607,0.5854764267635777,1.0
CCDC15,-0.5455082,-0.3303521,0.5854040179118762,1.0
ZNF781,-0.54649055,-1.0917425,0.5847287932672554,1.0
GRPEL1,-0.54717183,-0.035443604,0.5842606861960864,1.0
DKK2,-0.5473104,-1.7970393,0.5841655042885705,1.0
POLR3A,-0.5480075,-0.06921821,0.5836867755976141,1.0
TRIM46,-0.54956746,-0.5290603,0.5826160815430809,1.0
GUCA1B,-0.54989576,-0.5542356,0.5823908814733361,1.0
SPTLC1,-0.55012554,-0.04224095,0.5822332656102873,1.0
MIR181A2HG,-0.55070156,-0.46333116,0.5818382900433408,1.0
IGKV3-11,-0.5507523,-3.2525196,0.5818035054508781,1.0
IFT122,-0.55078894,-0.14145736,0.5817783676109264,1.0
IRAK1BP1,-0.5511616,-0.113793254,0.5815229258044208,1.0
USP6NL,-0.5512089,-0.5835534,0.5814904878640361,1.0
NBPF15,-0.5513206,-0.118243374,0.5814139259911599,1.0
MID2,-0.55166507,-0.23946342,0.5811778412070963,1.0
SCARB2,-0.5519908,-0.098027624,0.5809546537884411,1.0
LZIC,-0.5521375,-0.051390775,0.5808541741238422,1.0
FAM136A,-0.5523677,-0.042468086,0.5806964608290224,1.0
SLC38A7,-0.55281365,-0.30462453,0.580391021388926,1.0
HDLBP,-0.55292064,-0.026543997,0.5803177388031586,1.0
HEATR3,-0.5540833,-0.099502064,0.5795218366665269,1.0
LOXL2,-0.5543553,-0.45729893,0.579335703963977,1.0
CSNK1E,-0.5546188,-0.042395357,0.5791554329010679,1.0
HDGF,-0.555483,-0.02133394,0.5785643404177092,1.0
CAMK2N1,-0.5556147,-0.037052397,0.5784742579895183,1.0
SBK1,-0.55569917,-0.03374012,0.5784165387345914,1.0
MGRN1,-0.55607176,-0.034814563,0.5781617901384424,1.0
RHCE,-0.5562406,-0.48017418,0.5780463836625601,1.0
SLC10A7,-0.55635744,-0.054296214,0.5779665380504533,1.0
CLCN7,-0.5566068,-0.11672319,0.5777960821222909,1.0
AZIN1,-0.5570229,-0.042377315,0.5775117502040203,1.0
TBC1D22B,-0.55725104,-0.114488326,0.577355919990102,1.0
TCEA3,-0.5579903,-1.4489175,0.5768509914870708,1.0
MUTYH,-0.559668,-0.06939182,0.5757059201930071,1.0
ITIH4,-0.5603301,-0.43473572,0.5752542982333604,1.0
MAST1,-0.5605774,-0.9813994,0.5750856736210069,1.0
SLC35E4,-0.5608826,-0.2547784,0.5748775416815852,1.0
