names,scores,logfoldchanges,pvals,pvals_adj
MGAT5,52.572807,1.5409701,0.0,0.0
EIF3B,52.46764,1.6931214,0.0,0.0
MPZL3,52.261234,1.8288842,0.0,0.0
SLC35D2,52.202595,2.9415507,0.0,0.0
METRN,52.19933,2.8139708,0.0,0.0
MIR497HG,52.129444,6.55974,0.0,0.0
PPP2R2D,52.113968,1.5779194,0.0,0.0
EXOSC6,51.940487,1.5827558,0.0,0.0
PPP1R35,51.580513,1.5507106,0.0,0.0
NENF,51.400013,1.6700075,0.0,0.0
RALGAPA2,51.13771,1.5410248,0.0,0.0
OSBP,51.026634,1.7768553,0.0,0.0
DNAJC21,50.959553,1.6102093,0.0,0.0
RAB4B,50.955597,1.7795274,0.0,0.0
OTULIN,50.837082,1.9664322,0.0,0.0
THAP11,50.75355,1.6385089,0.0,0.0
ESR2,50.65214,1.7479495,0.0,0.0
BRD1,50.4032,1.5938563,0.0,0.0
ZNF708,50.26578,1.5351589,0.0,0.0
MCM9,50.176846,1.5297242,0.0,0.0
DUS1L,50.108154,1.6013112,0.0,0.0
GIMAP5,49.959217,1.598266,0.0,0.0
PLEKHM2,49.912514,1.8433726,0.0,0.0
SBF2,49.886806,1.5953099,0.0,0.0
UST,49.870014,1.8863817,0.0,0.0
PRKCA,49.74811,1.7773349,0.0,0.0
VPS54,49.715973,1.6569352,0.0,0.0
MFSD6,49.669506,1.5377793,0.0,0.0
CLPTM1L,49.66459,1.7098589,0.0,0.0
FOXK2,49.57271,1.6288544,0.0,0.0
RUNX2,49.533054,1.7004886,0.0,0.0
CASD1,49.345818,1.6581511,0.0,0.0
CNNM3-DT,49.129063,5.4925346,0.0,0.0
PDE12,48.927,1.79289,0.0,0.0
ZBED4,48.723015,1.7356926,0.0,0.0
FAM193A,48.706703,1.5502601,0.0,0.0
PATJ,48.54751,1.6739906,0.0,0.0
SNX25,48.41154,1.7654963,0.0,0.0
ZFP91,48.333164,1.8075472,0.0,0.0
MAPK9,48.20414,1.8802973,0.0,0.0
TBC1D2B,48.202103,1.66018,0.0,0.0
PDCD7,48.14972,1.7051798,0.0,0.0
YRDC,48.13129,2.578142,0.0,0.0
HABP4,48.130257,2.209678,0.0,0.0
SH3GLB2,48.080536,2.1148555,0.0,0.0
IFI30,48.0776,3.4802687,0.0,0.0
ANKUB1,47.715973,2.2007718,0.0,0.0
ABL1,47.663857,1.7988578,0.0,0.0
TMEM203,47.663544,1.8644094,0.0,0.0
SCMH1,47.641438,1.7119552,0.0,0.0
AP4B1-AS1,47.547832,4.2342424,0.0,0.0
MTMR1,47.26275,1.7445475,0.0,0.0
ZCCHC2,47.25699,1.6018806,0.0,0.0
ARPC1A,47.15471,1.6956147,0.0,0.0
SYNC,47.125126,2.572119,0.0,0.0
APPL2,46.958977,1.7468884,0.0,0.0
CDYL,46.91528,1.534002,0.0,0.0
GPHN,46.774208,1.5329431,0.0,0.0
LINC02580,46.369335,3.1845627,0.0,0.0
COMMD3,46.307213,1.6219519,0.0,0.0
RCOR1,46.306717,1.680884,0.0,0.0
ARL8A,46.29571,1.6371613,0.0,0.0
BAIAP2L1,46.19503,3.522906,0.0,0.0
PCAT1,46.098682,1.8664412,0.0,0.0
NR3C2,45.93623,1.5404927,0.0,0.0
EPHA4,45.837166,2.0162013,0.0,0.0
RPS10-NUDT3,45.671986,3.2813191,0.0,0.0
CHPT1,45.600704,2.0206764,0.0,0.0
GSK3A,45.256866,1.8627188,0.0,0.0
SNX9,45.22481,2.1583118,0.0,0.0
TMEM65,45.168526,1.5855613,0.0,0.0
CCZ1B,44.91779,1.5304745,0.0,0.0
ABHD15-AS1,44.90109,2.0112472,0.0,0.0
RASGRF2,44.863007,1.8518761,0.0,0.0
PELI2,44.65197,1.8114091,0.0,0.0
ECI1,44.521587,2.1176825,0.0,0.0
BICDL1,44.208637,1.5739084,0.0,0.0
LINC01801,44.09808,3.5894015,0.0,0.0
KLHL5,44.03601,1.92455,0.0,0.0
CSNK2A2,43.98012,1.6312784,0.0,0.0
TNFSF4,43.944885,5.0217953,0.0,0.0
PLEKHO1,43.790596,1.6281831,0.0,0.0
PITPNA,43.627407,1.7280545,0.0,0.0
F8A1,43.59512,1.7479945,0.0,0.0
TPGS1,43.22354,1.6147978,0.0,0.0
GIPC1,43.056076,1.6616081,0.0,0.0
DEXI,42.984673,2.4956942,0.0,0.0
EEF1E1,42.960064,1.6778387,0.0,0.0
PHC2,42.798977,1.8696338,0.0,0.0
ABCF2,42.637558,2.8878253,0.0,0.0
MRPL12,42.609962,2.2266297,0.0,0.0
IGKC,42.595856,1.792482,0.0,0.0
LINC01473,42.53569,1.6642027,0.0,0.0
MXRA7,42.392605,1.7124617,0.0,0.0
ADNP2,42.352383,1.6628832,0.0,0.0
ELL2,42.234665,1.6288211,0.0,0.0
SAP30,41.978653,2.1101623,0.0,0.0
CDC34,41.965027,1.8755974,0.0,0.0
BTBD6,41.957325,2.0575528,0.0,0.0
SMURF1,41.879063,1.5660607,0.0,0.0
PDE8A,41.684162,1.55009,0.0,0.0
LFNG,41.58815,2.0733879,0.0,0.0
PYCR2,41.581627,1.5366318,0.0,0.0
KIAA2013,41.545975,1.7342991,0.0,0.0
SELENOO,41.497303,1.6008958,0.0,0.0
SEC22A,41.486397,1.5435369,0.0,0.0
SH3D19,41.46154,2.0157206,0.0,0.0
RAB12,41.353012,1.546371,0.0,0.0
IFNG-AS1,41.31132,1.5771621,0.0,0.0
SKAP1-AS1,41.060898,1.7408657,0.0,0.0
SLC7A1,40.683357,1.6086857,0.0,0.0
SAP30L,40.618996,1.812887,0.0,0.0
FRAT2,40.576363,2.5122983,0.0,0.0
SLC33A1,40.54751,1.6331987,0.0,0.0
CTSZ,40.544884,2.1777947,0.0,0.0
DPYD-AS1,40.53873,2.1119044,0.0,0.0
WRNIP1,40.520313,1.6183212,0.0,0.0
KCNQ5,40.47864,1.6164109,0.0,0.0
PHF10,40.392765,1.5062323,0.0,0.0
WSB2,40.048546,1.5574608,0.0,0.0
LINC00881,39.941105,5.830214,0.0,0.0
PPAN,39.748566,2.0910099,0.0,0.0
LINC00667,39.695953,1.673294,0.0,0.0
NME1,39.57821,1.8787792,0.0,0.0
TERF2,39.338245,1.598399,0.0,0.0
SAMD12,39.214035,2.5415332,0.0,0.0
LRRC37A3,39.13908,1.9105451,0.0,0.0
ARMH4,39.006756,1.7258826,0.0,0.0
OGFRL1,38.991016,1.5212541,0.0,0.0
EID2,38.966213,2.0525577,0.0,0.0
SLC36A4,38.876114,1.5994339,0.0,0.0
ENTR1,38.814476,1.9590921,0.0,0.0
MGAT4B,38.804382,1.8339373,0.0,0.0
AVEN,38.464558,1.9613193,0.0,0.0
NPIPB13,38.36268,3.3005059,0.0,0.0
HOOK2,38.148323,1.5389869,0.0,0.0
