names,scores,logfoldchanges,pvals,pvals_adj
PLCL2-AS1,2.8501427,5.9239078,0.004369962154105655,0.010992597947234794
DOHH,2.8499594,0.479631,0.004372480595067155,0.010997519316744742
ZNF519,2.8466077,0.56300515,0.004418779298233494,0.011112539944458683
EYS,2.8451438,1.9651265,0.004439139123056458,0.011162307165249135
CROCC,2.8450627,-0.12491718,0.004440266085867103,0.011163706381632723
RBAK,2.843781,0.67987347,0.004458167643601855,0.01120727446685523
NFS1,2.842544,0.57874644,0.004475504792879788,0.011247967863738979
SCART1,2.8420727,0.70954096,0.004482125671675091,0.011263161056034185
LRRC75A,2.841997,0.27281213,0.004483191976707306,0.01126367756809279
MDM1,2.8419764,0.3472305,0.004483482449809625,0.01126367756809279
STS,2.8415687,1.278974,0.004489216556971386,0.011276635376998214
MIB2,2.8406553,-0.05102955,0.004502095739102873,0.01130753554393082
ABCA10,2.8395343,1.4641036,0.004517945096993796,0.011345886763087088
PUS7,2.8384159,0.91676,0.00453380725889821,0.011384260290275911
GTF2E1,2.8349173,0.6123377,0.0045837540709454715,0.011508198570728892
ZBTB48,2.8344939,0.2495397,0.004589833109771703,0.011521982590380075
FAM234A,2.832867,0.54603374,0.004613259860598146,0.011579305919982623
TAB1,2.832603,0.32670826,0.00461706828905428,0.01158737877134977
PTDSS2,2.8312292,0.74366665,0.00463694885409082,0.01163578035096809
MOSPD3,2.8305676,0.10733448,0.0046465495485666615,0.01165837691580362
PXMP2,2.8302402,0.9363207,0.004651305159751992,0.011668812739234227
TMEM115,2.8295004,0.23518516,0.00466207191706404,0.011694324224216016
LINC01684,2.828784,0.58290327,0.00467252089956839,0.011719032166464272
TEX2,2.8280287,0.5924259,0.004683560907901764,0.011745215922827337
EIF3J-DT,2.8274314,0.28116834,0.00469230612491215,0.011765638935453735
METTL24,2.8245707,1.8583553,0.004734401230294987,0.0118696685809625
ASL,2.8240492,0.21519381,0.004742110162827586,0.011887472670536794
A1BG-AS1,2.8234847,1.3696165,0.004750468859772713,0.01190690081312059
POLR1E,2.8219657,0.22088753,0.004773028893877927,0.01196191462543587
SAC3D1,2.8213878,1.1225595,0.004781634840938989,0.011981947825264969
ZNF700,2.819602,-0.047529884,0.004808323895071924,0.012047283223913881
TMCO3,2.818741,0.20388412,0.004821240250204582,0.012078098734605462
ANKRD16,2.8181922,1.7718008,0.0048294898062224735,0.012097216657470733
PGRMC1,2.8151317,0.20454939,0.004875726803728687,0.012209908125846295
LGR6,2.8104737,0.07564547,0.004946863033008221,0.012386463957761341
NCF2,2.8099432,1.2695404,0.004955025112995823,0.01240531364011032
BTG2,2.8093975,-0.11280946,0.004963431409698267,0.012424769838170103
USP54,2.8092349,0.59320176,0.004965938970195827,0.01242945686477257
FAM43A,2.8090992,1.3041804,0.0049680332737838725,0.012433108466735237
DARS2,2.8086095,0.7240152,0.0049755976217845605,0.012450446836711034
TESK2,2.8073666,0.4570888,0.0049948377791423785,0.012496993435910762
GGCT,2.8072715,0.15030816,0.004996311419883968,0.01249908231453458
MANEAL,2.8066347,2.2431118,0.005006197709215422,0.012522213572021908
EHD4,2.803447,0.10248453,0.005055955125153802,0.012645057501151533
TMED8,2.8027105,0.41189572,0.005067514818180669,0.01267072961438274
IL7,2.8005552,1.2322037,0.005101479122286019,0.012752394412990906
TTN,2.8004391,0.35639888,0.005103312430145519,0.012755347762560673
CHAC2,2.8001556,1.011806,0.005107797913048615,0.012764928424334009
KLHDC7B,2.798266,0.44587794,0.0051377797911628465,0.012838216696906471
TSC1,2.794276,0.12583071,0.005201604636022652,0.012994382678117101
MSANTD4,2.7928138,0.7554055,0.005225177890183359,0.01305160594269951
DUOX1,2.7924244,1.2414051,0.005231467965234836,0.013065649667353576
MINPP1,2.7919316,0.6403365,0.0052394417098899325,0.013083894254610285
FAM110A,2.7912943,0.25268736,0.00524977134040429,0.013108016535540532
MMAA,2.78961,0.40724888,0.005277156949219497,0.013174713853320632
HCCS,2.7888799,0.5218357,0.00528906663994799,0.013202762598609806
INPPL1,2.7858164,0.2542145,0.005339310129079274,0.013326482220130515
ALAS1,2.7857528,0.44413927,0.005340360018757218,0.013327402735243112
ACAD10,2.784647,0.43488806,0.0053586023814851565,0.013371223080961687
SYNGAP1,2.7845304,0.1941986,0.005360528723786119,0.013374324374225014
UQCC3,2.7840035,0.07623077,0.005369246525292346,0.013394367160494726
MYH11,2.783767,0.846618,0.005373160513500268,0.013402422552985753
CBY1,2.781579,0.9387155,0.005409515499751759,0.013491384055460416
JMJD7,2.7800596,0.8898852,0.005434891014981333,0.013552943466440006
PRR7,2.7786298,0.12016306,0.005458871382351903,0.013611008563947763
PASK,2.7773504,0.4624084,0.005480403964663717,0.013662956399610092
SPAG16,2.7772598,0.3836773,0.005481931781807047,0.01366502434476437
TMEM106C,2.7755034,0.12463232,0.005511633604207456,0.013737313255270858
AP1S3,2.7722049,0.8793773,0.005567797661763173,0.013875530392942152
DUSP7,2.7703648,0.9837638,0.005599354483769809,0.01395239635023655
EOGT,2.7679718,0.39129636,0.005640635918331112,0.014053471307601631
CUL9,2.7671163,0.32600296,0.005655458859188356,0.014088608396766105
PAFAH1B3,2.7659953,0.17789555,0.0056749368019088,0.014135331382351249
MAGEF1,2.7625475,0.4180414,0.0057352219255810515,0.014281855769886742
WNT5B,2.7623158,2.7782822,0.005739292865223907,0.014290174677020158
DKK3,2.761995,1.1380105,0.005744934252245309,0.014302401202027507
CS,2.7619383,0.021702198,0.005745931226464101,0.014303063508389457
TTC38,2.761476,-0.036998354,0.005754073824706304,0.014321510633662294
TMEM241,2.7612882,0.60190105,0.005757386839820878,0.014327934081344898
TPRA1,2.7595122,0.32608712,0.005788771241879703,0.014404205958939728
ORMDL3,2.7576392,-0.009816529,0.005822043720698199,0.014485155947440858
RALGPS2,2.7561657,1.1150162,0.005848335117399347,0.014548718735986578
TEX261,2.7546458,0.38372493,0.005875570603142544,0.014614613647170878
TAF6L,2.754529,0.42579952,0.005877669145290459,0.014617975322196707
GPR160,2.7543726,1.251562,0.005880478857372993,0.014623104623341557
C12orf43,2.75336,0.24701521,0.005898697071705503,0.014666544383625576
PSAT1,2.7503808,1.085908,0.005952606487380075,0.01479715782583548
VMAC,2.7503734,0.4544852,0.005952740515381076,0.01479715782583548
EIF1AD,2.748972,0.13027687,0.005978249852013745,0.014858680694043561
IRAK3,2.7476437,2.2732728,0.0060025179266383994,0.014917103224340894
FBXL16,2.7463894,1.774004,0.006025519538122066,0.01497047643276373
CCDC102B,2.7463892,0.7513171,0.006025524958322114,0.01497047643276373
LINC00484,2.7462423,1.4209096,0.006028224763792048,0.014975282744430976
CTBP1-AS,2.7449098,2.7496064,0.006052751690149689,0.015034303766545964
NINJ2,2.7436247,0.33622074,0.0060764945816005386,0.01509136260601083
C5orf58,2.7429254,2.6093662,0.006089450731963388,0.015121620802418727
DNMBP,2.742532,0.6340438,0.006096748811397106,0.01513782270542045
GPR18,2.740257,0.14099482,0.006139115280178209,0.01524108193384004
CD72,2.7367616,0.53624064,0.006204725848869857,0.015402013879320735
NCKAP1,2.7347422,0.62694967,0.006242913717422168,0.015494842164195458
TCAF2,2.7341685,0.263757,0.006253800878876871,0.015519895446780294
MED17,2.7339854,-0.038682625,0.00625728232243985,0.015526566128012046
GGCX,2.7337313,0.3304,0.0062621121378619036,0.015536580488611859
FANCF,2.7336452,0.34489736,0.006263750885948782,0.015538676132891198
CFH,2.7330358,0.3791137,0.006275351000564661,0.015565479576505172
OPA1-AS1,2.7329047,2.3123963,0.006277847690175002,0.015569698808788902
ZNF562,2.7323256,0.19583188,0.0062888967010895575,0.01559512490773292
RMDN2,2.7294986,0.7806788,0.006343070588670581,0.01572747152548225
RNASEL,2.7269826,0.45961875,0.006391642756367344,0.01584589705518766
COMTD1,2.7269073,0.07734483,0.006393100447549458,0.015847503110925743
SYK,2.726728,0.89785695,0.0063965772476278744,0.015854113183227644
GIMAP6,2.7256026,0.009810162,0.006418420406777949,0.01590623740119439
BNIP1,2.7254574,0.18496145,0.00642124376199133,0.015911219188887722
TUBB4B,2.7212427,-0.025508605,0.00650370157060173,0.01611350118175926
COQ2,2.7203379,0.5794983,0.006521524468150505,0.01615561346914408
TNFRSF10A,2.7190108,0.3427741,0.006547745356533032,0.016218516599574476
TAPT1-AS1,2.7188683,1.0871145,0.006550567240627289,0.01622345269770849
C5orf24,2.7168398,0.03914693,0.006590852564967025,0.01632115957874902
CTPS2,2.7141411,1.0248444,0.006644784611156985,0.016452631313566984
ACP5,2.7140524,0.31003636,0.006646566464713797,0.016454961105961487
CACTIN,2.7137313,0.5493923,0.006653010767968154,0.01646883171506652
IQCH,2.712863,1.9462941,0.006670470529478642,0.01650996298012118
PYGB,2.7126384,0.13709629,0.006674991966897858,0.01651906447556055
AMPH,2.7098095,1.3509319,0.006732183039399747,0.016658492376703873
C2orf88,2.708053,1.434155,0.006767920566640488,0.0167448058728058
DPM2,2.7073271,0.07851063,0.00678273835561474,0.01677934565646893
BANK1,2.7065399,1.2777337,0.006798841982845023,0.01681705725196706
EFCAB13,2.7044284,0.8995813,0.006842198191855487,0.016920022016710244
TSC22D4,2.703503,-0.0073037925,0.006861285270295,0.01696507836354973
FTL,2.7008412,0.39149594,0.0069164342910326025,0.017099278105739225
RPL14,2.7003818,0.44178656,0.006925994115512059,0.017119118430599534
AGAP3,2.7003715,0.68323195,0.006926209148357345,0.017119118430599534
