names,scores,logfoldchanges,pvals,pvals_adj,rank_score
CBLB,16.946764,1.9941528,2.0334468149042105e-64,2.5210972642306146e-62,16.946764
LDLRAD4,16.9467,2.425579,2.0356365890660116e-64,2.5210972642306146e-62,16.9467
COG5,16.893408,2.1540804,5.031082534136909e-64,6.191712140125223e-62,16.893408
RORA-AS1,16.842396,3.2563941,1.1930811525466899e-63,1.4500752790704117e-61,16.842396
SMYD3,16.819862,2.445322,1.745612797372373e-63,2.108527853023617e-61,16.819862
SPPL3,16.808914,2.9089055,2.09984013541038e-63,2.5208387588779335e-61,16.808914
RASGRP1,16.798471,1.7361118,2.504181260907407e-63,2.9879157874046424e-61,16.798471
PAN3,16.750685,2.0658705,5.597775029923603e-63,6.63862192639667e-61,16.750685
SIPA1L1,16.708406,2.5693855,1.1383739759222059e-62,1.3419097566774532e-60,16.708406
AMBRA1,16.696127,2.2396677,1.398515804333155e-62,1.6386920514485734e-60,16.696127
CNOT6L,16.68676,2.1052756,1.6361087017893114e-62,1.9056770878936458e-60,16.68676
RICTOR,16.654102,1.9163615,2.825537064729337e-62,3.2716040995635305e-60,16.654102
PIK3R5,16.6379,1.8029222,3.703858661164625e-62,4.238427267933882e-60,16.6379
NDUFA11,16.55733,1.4417765,1.417489767407375e-61,1.6126418470132275e-59,16.55733
PDE7A,16.548595,2.1370773,1.638841280059769e-61,1.85369052995431e-59,16.548595
RASSF3,16.542772,2.1466424,1.8052188607292825e-61,2.0301449808477354e-59,16.542772
PUM2,16.527075,1.7257689,2.3423684657358002e-61,2.619169493572465e-59,16.527075
DIAPH2,16.503025,2.55558,3.489679994191708e-61,3.8798896662695073e-59,16.503025
USP47,16.487139,2.017859,4.5394737449240195e-61,5.018554928851594e-59,16.487139
WAC,16.486568,1.6505361,4.5824635048709553e-61,5.037620554118812e-59,16.486568
MBNL1,16.47543,1.1228352,5.509619206204071e-61,6.023029532234708e-59,16.47543
R3HDM2,16.46872,2.3046486,6.155893343169011e-61,6.6921400521739565e-59,16.46872
PMF1,16.436378,3.1187677,1.0501012589237558e-60,1.1228623734765057e-58,16.436378
ARFGEF1,16.428972,2.0383763,1.1865147835344531e-60,1.2618326784892488e-58,16.428972
PTPRA,16.397644,1.8096849,1.9880117573108543e-60,2.1027791387599346e-58,16.397644
CAB39,16.35277,1.9290282,4.156505286530727e-60,4.372822335851251e-58,16.35277
