names,scores,logfoldchanges,pvals,pvals_adj,rank_score
IRF4,5.0013356,1.0924975,5.693446010265724e-07,3.6113241986670884e-06,5.0013356
C11orf68,4.9979873,1.7311277,5.793186913247013e-07,3.6686434148355197e-06,4.9979873
VIM-AS1,4.9940295,1.1275986,5.913234953957633e-07,3.7422439061786208e-06,4.9940295
CPEB3,4.9826136,2.1153197,6.273115140934581e-07,3.9584752363046725e-06,4.9826136
ESR1,4.9753075,3.8159325,6.514419640159418e-07,4.104126320625868e-06,4.9753075
MTMR4,4.9734807,1.091695,6.576129337073121e-07,4.141670385189791e-06,4.9734807
BTBD2,4.971502,1.3423771,6.643617156996127e-07,4.1828282023198265e-06,4.971502
SPIN1,4.9682293,1.5111846,6.756698805010023e-07,4.252656230827794e-06,4.9682293
PRH1,4.9676204,1.1497146,6.77794089373184e-07,4.263283426825607e-06,4.9676204
TMEM164,4.9667835,2.608458,6.807253867008666e-07,4.280345233599794e-06,4.9667835
FANCL,4.9589443,1.6158469,7.087722633079602e-07,4.446699470474564e-06,4.9589443
TADA2B,4.9583354,1.7409922,7.109966549368305e-07,4.457796393400801e-06,4.9583354
BCL2L11,4.956585,1.0465198,7.174293110682885e-07,4.4938081814930435e-06,4.956585
NARS2,4.954987,1.3812671,7.23351548600701e-07,4.528004831419871e-06,4.954987
PLXNC1,4.952171,1.0995542,7.339007535804977e-07,4.588169311841271e-06,4.952171
NUBPL,4.9473,1.2761308,7.524989052785341e-07,4.7014363277427706e-06,4.9473
ZNF398,4.9433427,1.1668795,7.679434240851387e-07,4.793338731259329e-06,4.9433427
ZFYVE26,4.9425817,1.1587697,7.709483277755228e-07,4.810560228925839e-06,4.9425817
MARK4,4.9411354,1.3048433,7.766888778887772e-07,4.841748315555142e-06,4.9411354
INKA2,4.9404507,3.7051523,7.794224357173432e-07,4.857241472011774e-06,4.9404507
RAB11FIP3,4.937254,1.9967531,7.923020441982942e-07,4.9343623172731445e-06,4.937254
GRAMD2B,4.9326878,1.1841952,8.11057653524852e-07,5.04956289028772e-06,4.9326878
FANCC,4.930861,1.7076468,8.186790108079759e-07,5.095391502382466e-06,4.930861
TTI2,4.929948,1.3684012,8.225155090782996e-07,5.117641806564123e-06,4.929948
TUBGCP5,4.9110737,1.2001868,9.057912700368494e-07,5.617915553749943e-06,4.9110737
PDE8A,4.907116,1.8678086,9.242539296505471e-07,5.726979384231128e-06,4.907116
ZNF700,4.903463,1.465434,9.416175769421707e-07,5.827189356611131e-06,4.903463
ACSL1,4.896309,1.9343362,9.765354987590452e-07,6.039458482843551e-06,4.896309
