ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030902	hindbrain development	11/511	157/18614	0.0041092031521176	0.0957272815471366	0.0817408413423065	DLL1/AIF1/DAB1/FGF2/BCL2/ATF5/FOXC1/KCNE1/ALDH1A2/B4GALT2/MDK	11
GO:0048608	reproductive structure development	17/511	301/18614	0.0041462488810727	0.0957272815471366	0.0817408413423065	DHCR24/BMP6/SDC1/RXFP2/VEGFA/BCL2/VGF/FOXC1/ROR2/KCNE1/ASPM/GDF7/PTPRN/FSHR/BIK/RAB13/ADAM29	17
GO:0002573	myeloid leukocyte differentiation	14/511	227/18614	0.00414842540927126	0.0957272815471366	0.0817408413423065	LRRC17/UBASH3B/TYROBP/VEGFA/CSF1R/PRTN3/TRIB1/TESC/ROR2/ID2/FAM20C/MMP9/PPARG/C1QC	14
GO:0002685	regulation of leukocyte migration	14/511	227/18614	0.00414842540927126	0.0957272815471366	0.0817408413423065	PDGFD/AIF1/GAS6/VEGFA/CSF1R/PADI2/CCL25/APOD/CXCL8/TRPV4/ADTRP/NOD2/MDK/C5AR1	14
GO:0048659	smooth muscle cell proliferation	12/511	180/18614	0.0041652138147801	0.0957272815471366	0.0817408413423065	PDGFD/AIF1/BMPR1A/FGF2/NDRG4/TRIB1/APOD/BMPR2/ID2/MMP9/PPARG/ERN1	12
GO:0002526	acute inflammatory response	9/511	114/18614	0.0041896021804372	0.0957272815471366	0.0817408413423065	VNN1/FCGR3A/VCAM1/NLRP3/SERPINA1/IL1B/CNR1/ORM1/HP	9
GO:0070231	T cell apoptotic process	6/511	56/18614	0.00422273123822581	0.0957272815471366	0.0817408413423065	FASLG/CD274/BCL2/PDCD1/BCL3/PIP	6
GO:2000107	negative regulation of leukocyte apoptotic process	6/511	56/18614	0.00422273123822581	0.0957272815471366	0.0817408413423065	GAS6/BCL2/PDCD1/BCL3/PIP/NOD2	6
GO:0071496	cellular response to external stimulus	18/511	327/18614	0.00422357770767881	0.0957272815471366	0.0817408413423065	AIF1/GAS6/BMP6/RRAGD/FGF2/ASGR1/BCL2/PDK4/VCAM1/ADORA2B/WIPI1/DSC2/TNFRSF1A/IL1B/BMPR2/RXRA/CASP5/LPL	18
GO:0090130	tissue migration	20/511	379/18614	0.00424503801063682	0.0957277510984515	0.0817412422888174	FAT2/VASH1/DAAM2/FGF2/VEGFA/ENPP2/SPRED1/BMPER/TESK1/ACTA2/EFNB2/PKN3/ADTRP/BMPR2/PLXND1/DOCK5/ANXA3/RAB13/MMP9/PPARG	20
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	12/511	181/18614	0.00435338397126187	0.0976776855863531	0.0834062774076197	CRLF1/GAS6/BMP6/VEGFA/FLT3/ENPP2/TGFA/CSF1R/TNFRSF1A/LRP8/NOD2/LILRA5	12
