group,names,scores,logfoldchanges,pvals,pvals_adj
MKPP,ANP32A,25.785112,0.59828705,1.3025670827282685e-146,1.0745629289555968e-145
MKPP,XIAP,25.783686,0.79486674,1.3514387579446296e-146,1.1144101818567431e-145
MKPP,STX18,25.766554,0.99074805,2.1030630650480447e-146,1.7334767504995846e-145
MKPP,LINC00987,25.765469,4.2533407,2.162818323599551e-146,1.7819801665766742e-145
MKPP,SENP1,25.763773,1.0646263,2.259565765237706e-146,1.860908370966811e-145
MKPP,SERINC5,25.760836,0.9735617,2.4374231851572354e-146,2.006541728529945e-145
MKPP,ADPGK,25.756683,0.6589307,2.7130413426552324e-146,2.2324976027366524e-145
MKPP,EIF2S2,25.750744,0.62481517,3.1621618260477927e-146,2.6009744687727283e-145
MKPP,C3orf38,25.749043,0.65851456,3.304073206008234e-146,2.7165590124020637e-145
MKPP,LLPH,25.74714,0.8989839,3.470050512931241e-146,2.8518247978596608e-145
MKPP,HS2ST1,25.746311,0.72658134,3.5451715955183954e-146,2.9123391175946248e-145
MKPP,RASGRP3,25.739456,0.690741,4.230397708069345e-146,3.473790279122994e-145
MKPP,USP22,25.737488,0.64508724,4.450537911077044e-146,3.653025412917601e-145
MKPP,WDR82,25.730694,0.77166915,5.302357852612644e-146,4.350378971066005e-145
MKPP,LARS2,25.72846,0.9977911,5.61637306363801e-146,4.6060850003884565e-145
MKPP,CEP57,25.727394,0.67088103,5.7729854208539945e-146,4.73254204923632e-145
MKPP,CCT5,25.726212,0.77124125,5.951508582612218e-146,4.8768475688674996e-145
MKPP,MTMR4,25.719315,0.93544054,7.1087720462095195e-146,5.8227062118136404e-145
MKPP,BTD,25.717554,0.9413881,7.438555859384674e-146,6.090278705290347e-145
MKPP,RCN2,25.71629,0.66629004,7.684659371528588e-146,6.289143228024735e-145
MKPP,CBR4,25.7117,0.85360146,8.648913645748338e-146,7.075332032608841e-145
MKPP,TRAPPC13,25.709936,1.2051679,9.050788133017122e-146,7.400995494646012e-145
MKPP,DISC1,25.707771,1.3951029,9.56926795583911e-146,7.821697383452786e-145
MKPP,CCDC28A,25.707373,0.83171564,9.668041837266673e-146,7.89913330570498e-145
MKPP,SEL1L,25.706617,0.853246,9.857863292825439e-146,8.050862642487821e-145
MKPP,SSBP3,25.699043,1.0690062,1.1980508735436036e-145,9.780333539216201e-145
MKPP,NEK1,25.69252,0.84602296,1.4169763760919453e-145,1.1562716316666883e-144
MKPP,LY86,25.691532,0.59601915,1.4534520990465822e-145,1.1855419205562117e-144
MKPP,LMLN-AS1,25.687603,6.473733,1.6080945968799958e-145,1.3111331279894898e-144
MKPP,PAPOLG,25.686512,1.0430292,1.6539116285621093e-145,1.3479276446357083e-144
MKPP,VTA1,25.681551,0.8354201,1.8789949855064332e-145,1.5307316351536171e-144
MKPP,RNF220,25.681137,1.1250199,1.8991366162087504e-145,1.5464962674145996e-144
MKPP,MLEC,25.6757,1.120226,2.18410377782934e-145,1.7778095975276426e-144
MKPP,SLC12A2,25.671946,0.91109854,2.4054882057323362e-145,1.9571972228594742e-144
MKPP,CRYBG1,25.668573,0.6037009,2.6232669783604172e-145,2.1335032515609575e-144
MKPP,NUP107,25.66663,0.7563497,2.757662791613173e-145,2.241875592284444e-144
MKPP,MRPL1,25.65915,0.77860904,3.3423811122170584e-145,2.7149735825597095e-144
MKPP,GNL3L,25.657007,0.91730344,3.5314529626655246e-145,2.8673639657028624e-144
MKPP,TGS1,25.655607,0.75699687,3.660876961315928e-145,2.9712169381596877e-144
MKPP,ZNF586,25.655539,0.8625938,3.6672834183458624e-145,2.9751825012517344e-144
MKPP,SERPINB9,25.649164,0.609868,4.319778990794852e-145,3.5030847613706455e-144
MKPP,SSB,25.64682,0.60163677,4.5879573191388335e-145,3.7190202494162673e-144
MKPP,ELP2,25.645168,0.65879476,4.786707946666081e-145,3.8785217846940736e-144
MKPP,AOAH,25.636465,1.4558128,5.9853871314430004e-145,4.847767193215092e-144
MKPP,HBP1,25.63169,0.60408896,6.766166544555276e-145,5.477879476369783e-144
MKPP,RUNX3,25.630882,0.6260334,6.908040191806683e-145,5.590427232145293e-144
MKPP,MED6,25.627947,0.86502296,7.448552606025738e-145,6.025352517350626e-144
MKPP,ATAD2,25.615215,0.9517921,1.0326515301301625e-144,8.349969066771495e-144
MKPP,SLC16A7,25.61098,0.63982934,1.1511814342074959e-144,9.30455113778285e-144
MKPP,RAN,25.604918,0.61800647,1.344809327309247e-144,1.0865082129144238e-143
MKPP,APEX1,25.597319,0.6360522,1.6341125334431e-144,1.3196993006361774e-143
MKPP,DDX52,25.589996,0.8980354,1.9714766189110926e-144,1.5914956468173375e-143
MKPP,RHEB,25.583359,0.7793703,2.337040400933093e-144,1.8858229511529388e-143
MKPP,UNK,25.579165,0.8831774,2.602183937752837e-144,2.0989091217620575e-143
MKPP,KLHL22,25.57551,0.9759147,2.857560558399003e-144,2.3039449940977213e-143
MKPP,NDEL1,25.57525,0.7351503,2.8765682482030813e-144,2.3183149703804734e-143
MKPP,CGGBP1,25.57072,0.6033331,3.230377108000266e-144,2.6023886063956035e-143
MKPP,MORF4L1,25.567474,0.5966152,3.510535170611163e-144,2.8269198443835076e-143
MKPP,GPD2,25.541637,1.1077182,6.800672461899015e-144,5.4741077225191255e-143
MKPP,TRAPPC12,25.540518,0.9132495,6.99807560491514e-144,5.63068846369159e-143
MKPP,CTNNBL1,25.539051,0.7285163,7.265839387993174e-144,5.843729763429939e-143
MKPP,WDTC1,25.517214,0.92415583,1.2698302607954652e-143,1.0208725777833058e-142
MKPP,RALA,25.509071,0.7492323,1.5635366588070496e-143,1.2559640943980438e-142
MKPP,YTHDC1,25.500427,0.5948956,1.9498668895260946e-143,1.565654300133222e-142
MKPP,SMC3,25.499722,0.65409166,1.9853594000838294e-143,1.5934992920771276e-142
MKPP,HLCS,25.492683,1.1269709,2.376184170918227e-143,1.906403110148744e-142
MKPP,CACUL1,25.490183,0.7074729,2.5328377355756723e-143,2.0312528200715065e-142
MKPP,ZNF451-AS1,25.478382,1.7220691,3.423011319787886e-143,2.7440182509467165e-142
MKPP,ULK1,25.468575,1.4611062,4.3961926752324175e-143,3.522714916828335e-142
MKPP,ENOX2,25.465252,0.8806829,4.785063063809432e-143,3.832751290733646e-142
MKPP,WASHC4,25.462475,0.572253,5.136225484689822e-143,4.112342892160819e-142
MKPP,CSTB,25.462135,0.69582427,5.181010273092406e-143,4.14650343655919e-142
MKPP,LRIF1,25.45582,0.9628615,6.08623452337404e-143,4.868987618699232e-142
MKPP,SMARCB1,25.452131,0.62229997,6.6861237147468355e-143,5.346713071114265e-142
MKPP,C1QBP,25.450848,0.63302696,6.908535399918209e-143,5.522312937320242e-142
MKPP,SCO2,25.43833,1.8783737,9.504545374667744e-143,7.594321922886828e-142
MKPP,TUBA1B,25.4345,0.62074745,1.047850511424042e-142,8.36911788063088e-142
MKPP,PCED1B,25.430462,0.67497504,1.1613607396342156e-142,9.27193266142894e-142
MKPP,ERH,25.427788,0.58375627,1.2432469256798617e-142,9.92163778209769e-142
MKPP,ZNF12,25.424002,1.3248577,1.3690686609179494e-142,1.0921294560473883e-141
MKPP,SDHB,25.421282,0.7147806,1.467200106191995e-142,1.1699336462088411e-141
MKPP,RTF1,25.416115,0.6047967,1.673490611705576e-142,1.3338844924584402e-141
MKPP,TYW5,25.407202,1.2901859,2.0996814408671615e-142,1.6729057994661486e-141
MKPP,DLG2,25.401157,1.4407163,2.4486618991776996e-142,1.9501593831139286e-141
MKPP,RANBP1,25.396406,0.6529618,2.7632954573563737e-142,2.199843999574838e-141
MKPP,COX20,25.396273,0.7258866,2.7726960674530502e-142,2.2064301198829314e-141
MKPP,AP4S1,25.395597,1.046338,2.8207455554712e-142,2.2437540255878228e-141
MKPP,NDUFAF2,25.382431,0.88291657,3.9424341844265195e-142,3.134723775735804e-141
MKPP,ARCN1,25.381866,0.80876654,3.999333413798756e-142,3.178674095906339e-141
MKPP,CBX3,25.373665,0.55941117,4.926250020626874e-142,3.9137986359572334e-141
MKPP,RNF216,25.372913,0.62973964,5.021391093571298e-142,3.9877670827517516e-141
MKPP,EFCAB14,25.371714,0.6752279,5.176870122868899e-142,4.1095738159958873e-141
MKPP,SAMD1,25.36629,1.5606979,5.941705301857806e-142,4.7148130310930067e-141
MKPP,BCLAF3,25.36575,1.2664536,6.023902245296595e-142,4.778099681230797e-141
MKPP,CRBN,25.360485,0.6673526,6.88578996580739e-142,5.459527473700122e-141
MKPP,BCL9L,25.359892,1.5469975,6.990166234091303e-142,5.540039403349479e-141
MKPP,RTCB,25.359142,0.7281345,7.124434857206903e-142,5.644167663393711e-141
MKPP,LINC00926,25.356613,0.60513324,7.597384691735979e-142,6.016415364139605e-141
MKPP,NDUFS6,25.355822,0.6673553,7.751358243705419e-142,6.135864810389468e-141
MKPP,SETD1B,25.348042,1.1326784,9.444665803765557e-142,7.473239807848136e-141
MKPP,RBM5,25.338736,0.6219239,1.1961019953543368e-141,9.460518934961059e-141
MKPP,PPAN,25.336548,1.8196379,1.2643545818696343e-141,9.996319376979799e-141
MKPP,ZNF675,25.331776,0.99938786,1.4271432646094433e-141,1.1278812359401285e-140
MKPP,B4GALT5,25.326555,1.439595,1.629250599872765e-141,1.287088241352857e-140
MKPP,TCERG1,25.319857,0.6033507,1.9309126882121965e-141,1.5247820614582833e-140
MKPP,OSTC,25.305983,0.73296016,2.7449332744536207e-141,2.1667145750104255e-140
MKPP,SMAP1,25.305426,0.6853527,2.78389463308141e-141,2.1965826685539124e-140
MKPP,IGFLR1,25.299965,0.80097294,3.197019580640701e-141,2.52153483087373e-140
MKPP,MTMR6,25.294128,0.7745351,3.7065792681045956e-141,2.9222539531938245e-140
MKPP,ABHD14A,25.292725,1.612263,3.84084601214045e-141,3.0268898415450794e-140
MKPP,PAIP1,25.265112,0.81827575,7.727548903648186e-141,6.087466865804658e-140
MKPP,PARVB,25.26315,0.7715457,8.120772425417253e-141,6.394658946501603e-140
MKPP,DDX6,25.250051,0.5777932,1.1310688456417453e-140,8.902958636974124e-140
MKPP,NIPAL2,25.248674,0.93150145,1.1711870247567893e-140,9.215033253092422e-140
MKPP,HIRA,25.238556,1.3403908,1.5126280404823503e-140,1.1896746582057328e-139
MKPP,PSMD7,25.228159,0.6483411,1.9671930555395871e-140,1.5465662398874506e-139
MKPP,LMF1,25.228075,1.0164914,1.9712984362200006e-140,1.5491713975884729e-139
MKPP,PPP1R10,25.22103,0.6613838,2.3554501330781927e-140,1.850319076839585e-139
MKPP,YPEL1,25.21955,1.1451445,2.4451855386262387e-140,1.920039751999929e-139
MKPP,PTGES3,25.217337,0.59469116,2.585707883349391e-140,2.0295680650373396e-139
