"group","gene","scores","logfoldchanges","pvals","pvals_adj"
"MKPP","FAM184B",15.416855,1.7601225,1.26097657988823e-53,4.59065855167496e-53
"MKPP","MBNL1-AS1",15.359426,1.5462143,3.06278546107795e-53,1.11089130495595e-52
"MKPP","TMEM72-AS1",15.229471,1.6080824,2.25408598874656e-52,8.10212245183554e-52
"MKPP","PROCR",15.117452,1.6954952,1.24258914099292e-51,4.42251442541823e-51
"MKPP","TIAM1",14.889483,1.6523979,3.85738732393662e-50,1.35222778851293e-49
"MKPP","PRKD1",14.848761,1.9713984,7.08665416806612e-50,2.47760673147611e-49
"MKPP","PRKAR2B",14.794514,1.9341424,1.58928675085067e-49,5.53661440994231e-49
"MKPP","ST18",14.718374,1.7479507,4.91332104375681e-49,1.7010592035427e-48
"MKPP","ATRNL1",14.709688,2.2356632,5.58640876861431e-49,1.93101654803471e-48
"MKPP","SLFNL1-AS1",14.428424,1.6205199,3.42824265620822e-47,1.16545956040102e-46
"MKPP","IMPG2",14.380423,1.6248922,6.86740910950191e-47,2.32856457207994e-46
"MKPP","PMFBP1",14.338682,1.7828072,1.25414996674056e-46,4.23708676608757e-46
"MKPP","EYA2",13.987514,1.8786093,1.8579528272852e-44,6.12576595186465e-44
"MKPP","A2M",13.723759,1.6121573,7.31714662660339e-43,2.37528077620065e-42
"MKPP","LINC02562",13.695275,3.064862,1.08348650433254e-42,3.51020925774488e-42
"MKPP","TRAM2-AS1",13.591902,1.5834562,4.4730613548093e-42,1.44104156389378e-41
"MKPP","MIR2052HG",13.554989,2.9818792,7.40231593414694e-42,2.3780745066391e-41
"MKPP","KCNMB2-AS1",13.497731,1.7032452,1.61265355927345e-41,5.15711796827308e-41
"MKPP","SEMA6A",13.479136,1.501929,2.07521103317958e-41,6.62334521240549e-41
"MKPP","PZP",13.465464,1.5556823,2.49746008801436e-41,7.96452069789193e-41
"MKPP","CD40LG",13.42984,1.893222,4.04282523738129e-41,1.28508778825661e-40
"MKPP","ZBTB20-AS2",13.1979685,1.5041832,9.01326199255837e-40,2.81923770253168e-39
"MKPP","DLEU7",13.164684,2.0240524,1.4012214689494e-39,4.3702744189356e-39
"MKPP","SYT9",13.15284,2.1602516,1.63901063439293e-39,5.1094726929745e-39
"MKPP","EEPD1",13.137323,2.0213187,2.01218849711041e-39,6.26384099768636e-39
"MKPP","ATP8B4",13.136,2.0105731,2.04769584271055e-39,6.37234609576338e-39
"MKPP","PTGDR",12.938695,1.8833609,2.72215637427163e-38,8.37533898297913e-38
"MKPP","KCNIP2-AS1",12.827432,1.6798172,1.15116630417214e-37,3.519141109208e-37
"MKPP","OVCH1",12.801776,3.7623613,1.60243289767078e-37,4.89026932963535e-37
"MKPP","CAMK2N1",12.697924,1.6890801,6.07190191955454e-37,1.83981072718865e-36
"MKPP","SLC9C1",12.581152,1.608886,2.68091882504736e-36,8.05593052342241e-36
"MKPP","SAMD12-AS1",12.52807,2.2953222,5.24225540423483e-36,1.56802894757058e-35
"MKPP","KCNC1",12.427482,1.8688365,1.85383493013004e-35,5.50551554299357e-35
"MKPP","ZNF625",12.371196,1.6937164,3.74207845078061e-35,1.10762352329262e-34
"MKPP","ITGA2B",12.34515,1.8828754,5.17377008458426e-35,1.52884827869443e-34
"MKPP","GIMAP8",12.345058,1.8103238,5.17964663495836e-35,1.53035369700838e-34
"MKPP","GLYATL1B",12.22155,2.4821036,2.38492367763715e-34,6.98416440047946e-34
"MKPP","FAM66D",12.1434965,2.2022934,6.21137036404506e-34,1.80869189410169e-33
"MKPP","FARP1",12.090926,1.7479136,1.17950137658432e-33,3.41629409961545e-33
"MKPP","METTL24",11.95519,2.2839727,6.09942677423386e-33,1.75056590082441e-32
"MKPP","MARK1",11.867915,1.8741673,1.73742585376883e-32,4.95958411474085e-32
"MKPP","IL12RB2",11.867522,1.5751569,1.74561006254898e-32,4.98076665266236e-32
"MKPP","SRGAP2-AS1",11.614379,1.5142224,3.4831153941134e-31,9.77310037740335e-31
"MKPP","LINC02315",11.6125555,2.3902247,3.55818463687643e-31,9.98087112591715e-31
"MKPP","AGBL4",11.609225,2.0394087,3.69952970947646e-31,1.03758631725721e-30
"MKPP","CP",11.605037,1.5071388,3.88521789632671e-31,1.08888490110743e-30
"MKPP","C1QTNF7",11.452098,2.5371165,2.29523241793238e-30,6.36613861858269e-30
"MKPP","HIGD1B",11.279289,1.8602965,1.66082940547341e-29,4.54851081963662e-29
"MKPP","SLC38A4",11.264891,1.5018564,1.9559437598414e-29,5.34626449121058e-29
"MKPP","CC2D2A",11.262706,1.5133128,2.00505992417223e-29,5.47975036259806e-29
"MKPP","CTNNA3",11.212884,1.606668,3.52516684832936e-29,9.60998396323613e-29
"MKPP","TTC3-AS1",11.211545,1.7844311,3.57889640760099e-29,9.75373884455936e-29
"MKPP","MB21D2",11.174137,1.8706198,5.45782666349343e-29,1.48372814880855e-28
"MKPP","PRKCA-AS1",11.004423,1.9177343,3.63836067846141e-28,9.78766040089812e-28
"MKPP","OMG",10.987978,1.5191005,4.36597659496003e-28,1.17273067961809e-27
"MKPP","LRGUK",10.729545,1.5904009,7.39594757629863e-27,1.9575801727717e-26
"MKPP","LINC02284",10.569248,1.8190361,4.13799734746751e-26,1.08512908195181e-25
"MKPP","UBASH3A",10.489642,1.5581796,9.63923535932807e-26,2.51527613696935e-25
"MKPP","FSCN3",10.489128,1.8469518,9.69184540146654e-26,2.5286670775453e-25
"MKPP","FNIP2",10.480875,1.5645835,1.0576022740272e-25,2.75751649542494e-25
"MKPP","TREML1",10.427313,1.6600714,1.8607708155044e-25,4.82976035519169e-25
"MKPP","PP2D1",10.418684,1.6494967,2.03752122908943e-25,5.28502325169963e-25
"MKPP","CFAP100",10.405952,1.6325463,2.32914199529909e-25,6.03504377171778e-25
"MKPP","TENM1",10.402275,1.5062248,2.42082937885768e-25,6.27095436662523e-25
"MKPP","ANKRD55",10.362648,1.5393325,3.66668641135124e-25,9.47691450235387e-25
"MKPP","ENTHD1",10.250558,1.9594635,1.17662517592041e-24,3.01877559229192e-24
"MKPP","EDRF1-AS1",10.0408325,1.5653342,1.00819337827135e-23,2.54679235614719e-23
"MKPP","MAP3K20-AS1",10.018687,1.7578713,1.26167728926289e-23,3.1827383261952e-23
"MKPP","LINC00334",9.93399,1.734312,2.96164716851933e-23,7.42612913808127e-23
"MKPP","DOCK3",9.927107,1.5661172,3.17329741028811e-23,7.95173309316401e-23
"MKPP","TCEA3",9.892058,1.5917699,4.50663402060318e-23,1.1271193061754e-22
"MKPP","TSPAN2",9.770083,1.5318644,1.51327720517302e-22,3.75355664226462e-22
"MKPP","MTMR7",9.625141,1.6351118,6.26210303949212e-22,1.53882748055735e-21
"MKPP","CNTD1",9.385145,1.5173913,6.28296891900833e-21,1.51727922753492e-20
"MKPP","DOK6",9.31603,1.5961579,1.2077543047379e-20,2.90549990596399e-20
"MKPP","TOM1L1",9.176567,1.5071874,4.45055200054625e-20,1.0608892867181e-19
"MKPP","GP9",9.116473,1.655875,7.76085136592549e-20,1.84301382922852e-19
"MKPP","UTF1",9.003236,1.7851863,2.19161438976593e-19,5.16817430452394e-19
"MKPP","PTH2R",8.990299,1.710272,2.46559109302225e-19,5.81355422439564e-19
"MKPP","LINC00470",8.986312,2.506002,2.55666154662006e-19,6.0239317452452e-19
"MKPP","ECT2L",8.864697,1.5308267,7.67122876837893e-19,1.79193750196537e-18
"MKPP","C21orf91-OT1",8.837029,1.9252311,9.82975690816451e-19,2.29122910278693e-18
"MKPP","C17orf99",8.836567,2.2256722,9.87045256417791e-19,2.30016691408638e-18
"MKPP","POLN",8.786668,1.8745774,1.54061877794122e-18,3.57910818553411e-18
"MKPP","TEX53",8.772885,1.7298468,1.74145418164845e-18,4.04040495927162e-18
"MKPP","LINC01393",8.712288,1.7733047,2.97802276962891e-18,6.88166622060681e-18
"MKPP","SMIM15-AS1",8.667102,1.5902869,4.43256780162526e-18,1.02115006760305e-17
"MKPP","LINC01829",8.611973,1.5357411,7.18138960426731e-18,1.64858554406737e-17
"MKPP","RGS5",8.561727,1.665528,1.11189728985966e-17,2.54118268721957e-17
"MKPP","GPR19",8.558227,1.5327004,1.14617382058924e-17,2.61890814120624e-17
"MKPP","CMTM5",8.537317,1.8096743,1.3737445181328e-17,3.13376459907003e-17
"MKPP","EDNRB-AS1",8.498268,2.088664,1.92440679818341e-17,4.38073432141146e-17
"MKPP","PLB1",8.476104,1.7361429,2.32860198489111e-17,5.29222806508121e-17
"MKPP","RTN1",8.428366,1.6030031,3.50526345309413e-17,7.93142868294935e-17
"MKPP","ADAMTS17",8.402577,1.6379031,4.36783609920647e-17,9.86835432274244e-17
"MKPP","HTR1F",8.390139,4.5259457,4.85569379852254e-17,1.0965518320772e-16
"MKPP","MYLK4",8.232303,1.7921673,1.8364894472123e-16,4.10655073740719e-16
"MKPP","OSMR",8.19633,1.8163258,2.4783742966645e-16,5.53111635916184e-16
"MKPP","C8orf89",8.117585,2.3678942,4.75550143889607e-16,1.05601057826054e-15
"MKPP","ACKR4",7.982735,1.6764393,1.43125808745228e-15,3.15321529557151e-15
"MKPP","ASPN",7.9687433,1.602759,1.6029618462787e-15,3.5279223268453e-15
"MKPP","MYZAP",7.935902,1.6317562,2.08970557093064e-15,4.58474701333903e-15
"MKPP","MKNK1-AS1",7.8328595,1.6116033,4.76897298200818e-15,1.03814955291952e-14
"MKPP","LINC01250",7.790413,1.7681719,6.67905199270218e-15,1.44767046292863e-14
"MKPP","CCDC192",7.7511697,1.6935157,9.10498679003394e-15,1.96695055759974e-14
"MKPP","LINC02531",7.7322946,2.254071,1.05625381731777e-14,2.2790577458677e-14
"MKPP","MID2",7.456745,1.5125222,8.8686068420961e-14,1.87997940294807e-13
"MKPP","PTCRA",7.43396,1.5545657,1.05393718190343e-13,2.23052593288841e-13
"MKPP","ZBTB20-AS3",7.431961,1.7323409,1.06999279894251e-13,2.26377112008942e-13
"MKPP","ALK",7.3732276,1.5181899,1.66545914517094e-13,3.50879678646695e-13
"MKPP","GP1BA",7.3052087,1.8240267,2.7683638969023e-13,5.81112902108819e-13
"MKPP","MAGI1",7.303806,2.262174,2.79739996997082e-13,5.86893134045127e-13
"MKPP","C9orf153",7.202974,1.7723079,5.89131794360086e-13,1.22861888010638e-12
"MKPP","HIGD1C",7.202293,2.2140675,5.92082329673397e-13,1.23464056127974e-12
