"group","gene","scores","logfoldchanges","pvals","pvals_adj"
"SKPP","SLC11A1",19.537281,1.7069999,5.29284050607834e-85,3.50610369068859e-84
"SKPP","GLRA3",19.497152,2.674816,1.16066625175502e-84,7.66000580584899e-84
"SKPP","CYFIP1",19.496302,1.7230998,1.18015228118194e-84,7.78598106479036e-84
"SKPP","ZSCAN9",19.245337,1.5474682,1.54454775776596e-82,9.9387407181731e-82
"SKPP","TBC1D2B",18.928354,1.5386536,6.66099536925375e-80,4.14574928071111e-79
"SKPP","STX11",18.763508,1.5768142,1.50156976845005e-78,9.24566306766223e-78
"SKPP","GZMH",18.676027,1.5685629,7.75831029580173e-78,4.73532800587175e-77
"SKPP","PRF1",18.558447,1.6169366,6.96899939013859e-77,4.19211128392966e-76
"SKPP","KLHL29",18.326614,1.9175674,5.07530667494302e-75,2.99407901764501e-74
"SKPP","TESK1",18.240551,1.6688087,2.45964027196126e-74,1.43672360721606e-73
"SKPP","PHF19",18.201984,1.6480284,4.97710140902539e-74,2.89598335925688e-73
"SKPP","DOCK5",17.477343,2.0321352,2.13208271175968e-68,1.16342985230657e-67
"SKPP","SLC25A23",17.473309,1.5898315,2.28834227299207e-68,1.24800115936201e-67
"SKPP","RAB13",17.369759,1.7446442,1.3981484723676e-67,7.56399483198484e-67
"SKPP","SERPINA1",17.251858,2.0280585,1.08357956207635e-66,5.82193434121638e-66
"SKPP","CCDC85C",17.18924,1.9856169,3.19699810328633e-66,1.70553050395602e-65
"SKPP","ACTA2",17.027966,1.7589334,5.09449274291218e-65,2.67262825719318e-64
"SKPP","TRIB1",17.005072,2.7369626,7.53136910092379e-65,3.94258508739638e-64
"SKPP","ZBTB6",16.870642,1.5117401,7.39872195083495e-64,3.83416819740303e-63
"SKPP","GABRB2",16.804384,3.136733,2.26654746652736e-63,1.16439487595189e-62
"SKPP","LRRC32",16.76926,4.585077,4.09577531224373e-63,2.09641986162661e-62
"SKPP","SLC41A2",16.633991,1.688885,3.95360493446164e-62,1.99907342009161e-61
"SKPP","BHLHE40-AS1",16.56096,2.1410758,1.33446142445337e-61,6.69557465479578e-61
"SKPP","FMOD",16.508928,7.6821337,3.16450229499143e-61,1.58168533610197e-60
"SKPP","LINC01435",16.468369,2.607883,6.19183268332558e-61,3.07907959205375e-60
"SKPP","FCGR3A",16.33303,1.620812,5.74578206975199e-60,2.82212508887818e-59
"SKPP","SH2D2A",16.204313,1.6765318,4.70114392185507e-59,2.28098150912125e-58
"SKPP","FBXO2",15.90206,1.505016,6.13157028870446e-57,2.88975355032199e-56
"SKPP","G0S2",15.849322,2.5131588,1.42106043626293e-56,6.65883874923205e-56
"SKPP","MDK",15.826292,3.2546816,2.04948081236057e-56,9.58056391215278e-56
"SKPP","ANGPTL6",15.819968,2.3763285,2.26605345384618e-56,1.05853745487854e-55
"SKPP","SPRY2",15.780745,4.396077,4.22175798700146e-56,1.9645983422032e-55
"SKPP","LATS2",15.751407,1.5350246,6.71702537903771e-56,3.11761747194047e-55
"SKPP","RHOXF1-AS1",15.532083,2.4972203,2.10433042032824e-54,9.59849362820117e-54
"SKPP","LRRN1",15.495098,2.1963027,3.74391255303509e-54,1.70215801203045e-53
"SKPP","WIPI1",15.267468,1.5077949,1.25968496150473e-52,5.62645864568011e-52
"SKPP","SLA2",15.1549015,1.5707638,7.03209800824103e-52,3.10829215778768e-51
"SKPP","NEO1",15.067162,1.5764809,2.66309213073955e-51,1.16894093347491e-50
"SKPP","CREB5",14.99768,1.9497337,7.60310750888825e-51,3.31058317164943e-50
"SKPP","RRM2",14.955012,3.7820418,1.44454518147511e-50,6.25926928943864e-50
"SKPP","PDXP",14.856425,1.6031252,6.32092302454781e-50,2.71423791407399e-49
"SKPP","TNFRSF1A",14.826991,2.0942268,9.80292657974881e-50,4.19929219160518e-49
"SKPP","RASGRF1",14.801963,2.2396123,1.42268978280056e-49,6.07975402267775e-49
"SKPP","TTYH3",14.747139,1.5029242,3.20985370884876e-49,1.36544385597288e-48
"SKPP","TBC1D8",14.547981,1.5277607,6.01520027158186e-48,2.51722495539593e-47
"SKPP","PDCD1",14.525432,4.0466337,8.36137011809963e-48,3.49083188544855e-47
"SKPP","CAMTA1-DT",14.445577,1.5877413,2.67309482284426e-47,1.11008318109967e-46
"SKPP","LINC01118",14.415027,1.5483499,4.16278308460239e-47,1.72396485501586e-46
"SKPP","RAPGEF3",14.336043,3.7484245,1.30274432867717e-46,5.35773455728349e-46
"SKPP","DENND6B",14.335215,1.8627757,1.31839221336146e-46,5.42094953373757e-46
"SKPP","LILRA5",14.153759,2.3417733,1.77035808881337e-45,7.17233272917185e-45
"SKPP","LINC02137",14.133061,2.9803925,2.37588132210507e-45,9.61158687429232e-45
"SKPP","LRP8",13.722804,1.5481933,7.41414408910973e-43,2.90043925501198e-42
"SKPP","ENPP2",13.501254,3.2294016,1.53735896171217e-41,5.92652485476434e-41
"SKPP","FLT3",13.434553,2.3456585,3.79351588050683e-41,1.45295593559909e-40
"SKPP","GPR34",13.409862,2.0124586,5.29375167434818e-41,2.02399634161089e-40
"SKPP","IL18R1",13.17451,1.5975139,1.23023040142904e-39,4.61171427110412e-39
"SKPP","FRRS1",13.160557,1.8047714,1.47990406975783e-39,5.54340789376364e-39
"SKPP","C5AR1",12.952171,1.973285,2.28401880762671e-38,8.41371988472127e-38
"SKPP","LINC01224",12.878258,2.9515028,5.96670684734246e-38,2.18522402374691e-37
"SKPP","MIR646HG",12.87269,1.644819,6.41293496685543e-38,2.34733092838435e-37
"SKPP","B9D1",12.794094,1.6021589,1.76903179449428e-37,6.43547390865665e-37
"SKPP","MCF2",12.71694,1.751069,4.76144467567946e-37,1.71872254959778e-36
"SKPP","LINC02498",12.686513,23.400913,7.02440761812293e-37,2.5299762243959e-36
"SKPP","KCNH2",12.5845785,2.5062642,2.56709004073031e-36,9.17326842896471e-36
"SKPP","SLCO4A1",12.549217,2.1283863,4.0145991507972e-36,1.42884096367406e-35
"SKPP","MTCL1",12.515736,1.6334912,6.12375412480402e-36,2.17121979913327e-35
"SKPP","ABCA9",12.489923,2.3275125,8.47366090172712e-36,2.99571086766028e-35
"SKPP","ADM",12.403766,4.0754533,2.49323947540692e-35,8.74802045091672e-35
"SKPP","PTPRQ",12.387783,4.9771037,3.04341319592767e-35,1.06650267582222e-34
"SKPP","GDF7",12.366054,1.5445727,3.98945530720079e-35,1.39677333067284e-34
"SKPP","APOBEC3H",12.239397,2.0243902,1.91449021399449e-34,6.63644721123901e-34
"SKPP","MS4A6A",12.210561,1.6401513,2.72999855488234e-34,9.43993845589993e-34
"SKPP","PTGDS",12.182772,1.8925445,3.84006731191355e-34,1.32526344196692e-33
"SKPP","TREM1",12.141978,2.2589571,6.32770917768439e-34,2.17458049155125e-33
"SKPP","ARHGEF38",12.110466,1.60225,9.29645602082503e-34,3.18810114643365e-33
"SKPP","ZNF295-AS1",12.095914,1.5089746,1.11000393865763e-33,3.80395045037696e-33
"SKPP","CXCL8",12.05732,2.310313,1.77465582312058e-33,6.05940763336653e-33
"SKPP","IGHGP",12.015328,2.505289,2.9519503776207e-33,1.00284314217503e-32
"SKPP","ETS2",11.966611,1.731337,5.31559918891753e-33,1.79957863198509e-32
"SKPP","MCEMP1",11.91857,3.3965547,9.47211353443976e-33,3.19404304052933e-32
"SKPP","KCNC3",11.848065,1.6052839,2.20216366957097e-32,7.37749335493317e-32
"SKPP","LRP1",11.769048,1.9415994,5.63572801361416e-32,1.87838401925399e-31
"SKPP","LRRC4C",11.746798,2.2787921,7.33463338153785e-32,2.43964144161028e-31
"SKPP","VIPR1",11.715208,1.8241285,1.06528928159119e-31,3.53614599867284e-31
"SKPP","TMEM63C",11.557598,1.775367,6.75721756337953e-31,2.21854418255387e-30
"SKPP","ENO1-AS1",11.264934,1.5547249,1.95499432590731e-29,6.27033748063503e-29
"SKPP","NFE2",11.217236,2.922734,3.35598045636157e-29,1.07163553475984e-28
"SKPP","PJVK",11.191707,1.7323072,4.4773395113003e-29,1.4276125070413e-28
"SKPP","PLXND1",11.173454,1.8079821,5.49995502719217e-29,1.74996943044059e-28
"SKPP","GP6",11.120898,1.5033213,9.92672438602581e-29,3.14263295236617e-28
"SKPP","ADORA2A-AS1",11.081264,1.571617,1.5467396993025e-28,4.8824975699228e-28
"SKPP","TGFBI",11.071701,1.8658226,1.72102485145294e-28,5.42914949108999e-28
"SKPP","PRAM1",11.010898,1.903697,3.38613516624272e-28,1.06168711637618e-27
"SKPP","GINS2",10.983069,1.8022798,4.6098896929717e-28,1.44260869202095e-27
"SKPP","SH3D21",10.944935,2.156858,7.02681084116983e-28,2.19089602517545e-27
"SKPP","ANPEP",10.872481,2.1924005,1.55902351554311e-27,4.83853642381403e-27
"SKPP","ADAMDEC1",10.822381,1.7763937,2.69677940159242e-27,8.33790161642606e-27
"SKPP","COL4A2",10.809399,4.734653,3.10698942106447e-27,9.59557591404506e-27
"SKPP","PDK4",10.797033,1.9230514,3.55506146350945e-27,1.09534628748155e-26
"SKPP","ABCA9-AS1",10.641987,5.4364395,1.9003320639354e-26,5.77776535535858e-26
"SKPP","CDH23",10.467631,1.6018485,1.21649184622854e-25,3.64761146904689e-25
"SKPP","RRAGD",10.362926,1.8009118,3.65605704208701e-25,1.0872602461939e-24
"SKPP","FAM20A",10.327005,2.832437,5.31954581011519e-25,1.57573224965689e-24
"SKPP","ST3GAL5-AS1",10.221338,1.7047306,1.59129092367902e-24,4.67683700729215e-24
"SKPP","SH2D1B",10.211181,1.8932065,1.76701278656015e-24,5.18939009566397e-24
"SKPP","MYO3B",10.134145,1.7819777,3.89769818452994e-24,1.13768135553225e-23
"SKPP","ASGR1",10.107475,2.0712147,5.11864152653978e-24,1.49027789601741e-23
"SKPP","DHCR24",10.086782,1.7513924,6.32075015166041e-24,1.83726142257414e-23
"SKPP","ECHDC3",10.072231,1.5529529,7.32962134164102e-24,2.12672049841684e-23
"SKPP","NOD2",10.010505,2.2873716,1.37051187889311e-23,3.9595713046184e-23
"SKPP","HACD1",9.959917,2.0393014,2.28253103588311e-23,6.55674799033481e-23
"SKPP","PLAUR",9.893723,1.5710088,4.43232881018853e-23,1.26763826597149e-22
"SKPP","PPARG",9.872092,2.628052,5.50051955175552e-23,1.57061384194881e-22
"SKPP","ADAMTS2",9.804804,3.4048188,1.07355660048437e-22,3.05073417924457e-22
"SKPP","LINC01703",9.796147,1.7690843,1.16962063798354e-22,3.32082655891787e-22
"SKPP","FRMD4B",9.774854,1.642556,1.44365219242839e-22,4.089964688206e-22
"SKPP","NLRP3",9.731412,2.3373017,2.21496569562802e-22,6.2435103330523e-22
"SKPP","PELI3",9.669137,1.8595412,4.07801099499042e-22,1.14472126165504e-21
"SKPP","MGST1",9.629515,2.005981,6.00124308755666e-22,1.67952409521322e-21
"SKPP","SPRED2",9.597438,1.5235177,8.19563899830323e-22,2.28809051104006e-21
"SKPP","LRFN3",9.582735,2.3555222,9.45082857327997e-22,2.63476012996071e-21
"SKPP","PLXNB2",9.522692,2.04865,1.68750334877992e-21,4.68118309171044e-21
"SKPP","MAPK11",9.517758,1.8282313,1.76955031861503e-21,4.90530679057357e-21
"SKPP","GNA15",9.477932,1.9828352,2.59372181561426e-21,7.16762441575198e-21
"SKPP","LINC01535",9.463369,1.5561898,2.98177779186439e-21,8.22605777967043e-21
"SKPP","BMP8B",9.435894,2.7341902,3.87673418674771e-21,1.06694704031335e-20
"SKPP","XXYLT1-AS2",9.434025,1.9960762,3.94647219604385e-21,1.08583475720172e-20
"SKPP","TK1",9.420035,1.541101,4.50938097350376e-21,1.23758158330325e-20
"SKPP","NR2F6",9.339524,1.9052957,9.67678402167445e-21,2.64167563805979e-20
"SKPP","GRAMD1B",9.32208,1.5575355,1.14082204315194e-20,3.1091372897489e-20
"SKPP","LINC01415",9.188196,2.3404574,3.99483636837103e-20,1.0779227531203e-19
"SKPP","DLGAP1-AS2",9.181265,1.6275641,4.26056783503867e-20,1.14930784940773e-19
"SKPP","GFI1",9.159978,1.964368,5.19079997768773e-20,1.39735278529913e-19
