"group","gene","scores","logfoldchanges","pvals","pvals_adj","unique_group"
"SKPP","LDB3",6.4173994,1.5717709,1.38621838160554e-10,2.96356618499479e-10,"SKPP_unique_upregulated"
"SKPP","VNN1",6.39164,2.3722384,1.64115878199529e-10,3.50247519315998e-10,"SKPP_unique_upregulated"
"SKPP","CCDC183-AS1",6.387415,1.5934346,1.68713469338289e-10,3.59980936431321e-10,"SKPP_unique_upregulated"
"SKPP","SNAP25-AS1",6.339528,1.74781,2.30470139769712e-10,4.89774076348146e-10,"SKPP_unique_upregulated"
"SKPP","ASIP",6.319498,1.7086922,2.62414437131946e-10,5.56752217911518e-10,"SKPP_unique_upregulated"
"SKPP","HIC1",6.3194194,1.8341862,2.6254747000715e-10,5.56974077742836e-10,"SKPP_unique_upregulated"
"SKPP","PFN4",6.30371,1.7568911,2.90604080388353e-10,6.15626355422679e-10,"SKPP_unique_upregulated"
"SKPP","VSIG4",6.2351427,2.4268446,4.51366870127379e-10,9.50327836739031e-10,"SKPP_unique_upregulated"
"SKPP","LLPH-DT",6.228465,1.9946046,4.71026467107645e-10,9.9118678442439e-10,"SKPP_unique_upregulated"
"SKPP","HDAC11-AS1",6.1274137,1.8948041,8.93189406544808e-10,1.86530739672026e-09,"SKPP_unique_upregulated"
"SKPP","EXO1",6.1269445,1.878124,8.95827649690335e-10,1.87061737798959e-09,"SKPP_unique_upregulated"
"SKPP","CD33",6.1236672,1.5098522,9.14458531964609e-10,1.90850304538006e-09,"SKPP_unique_upregulated"
"SKPP","AURKA",6.1062784,1.5308828,1.01981121972855e-09,2.12565679033321e-09,"SKPP_unique_upregulated"
"SKPP","KIR3DL1",6.0575743,1.5304412,1.38189522101022e-09,2.86632665727454e-09,"SKPP_unique_upregulated"
"SKPP","SRMS",6.0514855,2.661457,1.4351627188316e-09,2.97460693592806e-09,"SKPP_unique_upregulated"
"SKPP","LINC01122",6.049171,2.305291,1.45592967437455e-09,3.01701068179194e-09,"SKPP_unique_upregulated"
"SKPP","FCRL4",5.995332,4.2466536,2.03070704544928e-09,4.1890022628454e-09,"SKPP_unique_upregulated"
"SKPP","KIR2DL3",5.9928403,1.5944818,2.06207531770882e-09,4.25191673518717e-09,"SKPP_unique_upregulated"
"SKPP","EVC",5.987336,2.314731,2.13305797376553e-09,4.39642705189003e-09,"SKPP_unique_upregulated"
"SKPP","SLC22A1",5.952974,1.9379708,2.63313391799887e-09,5.41003407259575e-09,"SKPP_unique_upregulated"
"SKPP","ARHGAP5-AS1",5.948102,1.5722352,2.71269558477882e-09,5.57233122012932e-09,"SKPP_unique_upregulated"
"SKPP","LINC01932",5.933173,21.265675,2.9713486688619e-09,6.09405206501308e-09,"SKPP_unique_upregulated"
"SKPP","KCNE1",5.915375,1.6925873,3.31119510123632e-09,6.78252546226236e-09,"SKPP_unique_upregulated"
"SKPP","LRRIQ4",5.900278,2.4752245,3.62889103525963e-09,7.42395606669739e-09,"SKPP_unique_upregulated"
"SKPP","CSF1R",5.8642774,1.5965468,4.51093052920859e-09,9.20244876934463e-09,"SKPP_unique_upregulated"
"SKPP","SIGLEC7",5.85163,2.0958443,4.86777330213705e-09,9.92628053107731e-09,"SKPP_unique_upregulated"
