Sample,mMDSC_ENTPD1_expression,mMDSC_NT5E_expression,mMDSC_ARG1_expression,mMDSC_IDO1_expression,mMDSC_STAT3_expression,mMDSC_SIGLEC9_expression,mMDSC_CD274_expression,mMDSC_PDCD1LG2_expression,mMDSC_TGFB3_expression,mMDSC_IL10_expression,mMDSC_ENTPD1_fraction,mMDSC_NT5E_fraction,mMDSC_ARG1_fraction,mMDSC_IDO1_fraction,mMDSC_STAT3_fraction,mMDSC_SIGLEC9_fraction,mMDSC_CD274_fraction,mMDSC_PDCD1LG2_fraction,mMDSC_TGFB3_fraction,mMDSC_IL10_fraction,mMDSC_suppressive_score,Condition
M19,0.0,0.0,0.018307123,0.0,0.6354741,0.0,0.0,0.02970948,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.6060606060606061,0.0,0.0,0.030303030303030304,0.0,0.0,-0.07003526704918744,MKPP
M20,0.021396106,0.021396106,0.0,0.0,0.76931185,0.06563083,0.0,0.0,0.0,0.0791614,0.041666666666666664,0.041666666666666664,0.0,0.0,0.4166666666666667,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,-0.06092589644434884,MKPP
M21,0.6068784,0.0,0.06826346,0.0,1.0370766,0.26101172,0.0,0.0,0.0,0.05213591,0.4897959183673469,0.0,0.04081632653061224,0.0,0.7346938775510204,0.30612244897959184,0.0,0.0,0.0,0.10204081632653061,0.12794553372365963,MKPP
M22,0.3321327,0.029627794,0.012191622,0.0,0.96545255,0.12673607,0.026360815,0.0,0.0,0.018526757,0.3793103448275862,0.034482758620689655,0.034482758620689655,0.0,0.7586206896551724,0.2413793103448276,0.034482758620689655,0.0,0.0,0.034482758620689655,0.02468748750674485,MKPP
M23,0.10346177,0.0,0.16679661,0.0,0.54130286,0.05240746,0.0,0.0,0.0,0.0,0.05673758865248227,0.0,0.07801418439716312,0.0,0.2907801418439716,0.03546099290780142,0.0,0.0,0.0,0.0,0.0704332872867131,MKPP
S01,0.5954199,0.0,0.5059373,0.0,0.60562724,0.04680729,0.0048957234,0.0,0.0,0.0,0.2465753424657534,0.0,0.1643835616438356,0.0,0.3013698630136986,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.031076471868275838,SKPP
S02,1.516059,0.0,1.574645,0.015200162,1.2018958,0.016676053,0.010664801,0.001986191,0.0038802435,0.0,0.715927750410509,0.0,0.6945812807881774,0.009852216748768473,0.625615763546798,0.011494252873563218,0.006568144499178982,0.0016420361247947454,0.003284072249589491,0.0,0.12932665688828898,SKPP
S03,0.76677,0.0,0.8412484,0.008277967,0.76622784,0.045735724,0.015557152,0.0013285347,0.0041781883,0.0051335315,0.43172690763052207,0.0,0.43172690763052207,0.008032128514056224,0.46586345381526106,0.03413654618473896,0.006024096385542169,0.002008032128514056,0.004016064257028112,0.002008032128514056,0.06330448924151562,SKPP
S04,1.221111,0.0005609185,1.4209291,0.017944336,1.1376108,0.04446777,0.004378015,0.0005511218,0.0020220857,0.00044121136,0.6190476190476191,0.0011474469305794606,0.6833046471600689,0.013195639701663799,0.6190476190476191,0.03098106712564544,0.004589787722317842,0.0017211703958691911,0.002868617326448652,0.0005737234652897303,0.09818120798565359,SKPP
S05,1.0163199,0.0,0.7889193,0.029275857,0.9349134,0.10057878,0.019810406,0.0,0.0,0.0,0.4855769230769231,0.0,0.36538461538461536,0.014423076923076924,0.4567307692307692,0.0673076923076923,0.009615384615384616,0.0,0.0,0.0,0.09116906997699922,SKPP
