Sample,mMDSC_ARG1_score,mMDSC_IDO1_score,mMDSC_STAT3_score,mMDSC_CD33_score,mMDSC_SIGLEC9_score,mMDSC_TGFBR2_score,mMDSC_TGFB3_score,mMDSC_ENTPD1_score,mMDSC_NNMT_score,mMDSC_TLR5_score,mMDSC_suppressive_score,Th1_Cytotoxic_scores,Th1_Exhaustion_scores,Th1_TCR_signaling_scores,Th1_IFN_response_scores,Th1_Activation_effector_scores,Th1_Unhelped_CD4_T_scores,Treg_Treg_signature_scores,Treg_Exhaustion_scores,Treg_TCR_signaling_scores,Treg_IFN_response_scores,Treg_Activation_effector_scores,Pro_Proliferation_scores,Pro_Exhaustion_scores,Pro_Treg_signature_scores,Pro_TCR_signaling_scores,Pro_IFN_response_scores,Pro_Activation_effector_scores,Pro_Unhelped_CD4_T_scores,CD8_exhausted_like_Exhaustion_scores,CD8_exhausted_like_Apoptosis_scores,CD8_exhausted_like_TCR_signaling_scores,CD8_exhausted_like_Cytotoxic_scores,CD8_exhausted_like_Activation_effector_scores,CD8_exhausted_like_IFN_response_scores,Condition
HC12,-0.7431771748860677,-0.06452978928883871,0.24544909063975018,-0.12038751792907715,-0.10369854195912678,-0.30340946451822914,-0.007684018135070801,-0.46389421558380123,-0.06452978928883871,-0.06452978928883871,-0.01251407115228003,1.0154955070359035,0.11839490038258695,0.45049260554807075,0.23416206714042176,0.281486665972271,0.061072055768814644,0.17115290719809956,0.16851573425440958,0.4864544990636462,0.23379977262850388,0.06927367513383295,0.3019427690903346,0.2715860016750006,0.18852251323117028,0.5154869098263795,0.23933943861677098,0.1173415116357694,-0.014991424218663611,0.14669963449585788,0.31170155091414936,0.52266540035223,1.023601438532186,0.2826058533771811,0.2269854615199106,HC
HC13,-0.6429149383868811,-0.02747327818060821,0.07465855814375966,-0.08302255144659079,-0.07237450811098206,-0.6249016072615137,-0.00412318544567756,-0.6669888068145176,-0.02747327818060821,-0.02747327818060821,-0.03611605026629975,0.46602770062335563,0.0695451074081406,0.4835367264247384,0.09551471748459553,0.3166705732231532,-0.012056631163598206,0.08711594080716893,0.1352958592326806,0.5044855262859838,0.13405122584920098,0.18109489540972545,0.2984219898897059,0.2434743371118902,0.05871410802123153,0.5795925926051659,0.14234131261406902,0.14442980980554446,-0.054322684457578256,0.136789238791606,0.22414526046351949,0.617611418225588,0.8645793191901326,0.38093488866150865,0.10278087567799721,HC
HC14,-0.6573208093643188,-0.036621471047401426,0.06876399748855166,-0.08955701119369931,-0.09013379527462853,-0.46583789288997646,-0.003661000927289327,-0.6573208093643188,-0.036621471047401426,-0.036621471047401426,-0.05426317191306623,0.6176914163541557,0.10456677492376648,0.5274296302128271,0.24589162427982705,0.3186860095542926,0.007309019504847015,0.0535478795539289,0.13692339538108525,0.5146278430612857,0.23328525749333454,0.16208909041225866,0.07433102311510029,0.27288966298544903,0.07289886501665832,0.6014741248038596,0.27134228261437726,0.11005309402281371,-0.08053565141139842,0.15530823952728923,0.2961649996062119,0.6135531058212838,0.8869793175384351,0.3317921413598786,0.22274331876234352,HC
HC15,-0.7068831038475036,-0.037328173369169236,-0.33675884947180745,-0.09064531408250331,-0.0802057759463787,-0.6444834296405315,-0.007224857583642006,-0.7068831038475036,-0.037328173369169236,-0.037328173369169236,-0.07842814785490052,0.9930004515769856,0.1337256587765674,0.6091499289437189,0.15583192492252892,0.3757680875780671,0.03856292927022212,0.10337245970625443,0.1845722691498917,0.5430681830091937,0.16289210913664448,0.17652340357713062,0.17221441317827274,0.2850014829488386,0.056766850301894135,0.5877960143859255,0.13934001257039458,0.13751187642398122,-0.05820949881562416,0.1651941910787122,0.2580114725898333,0.5986980804389311,0.8434804486746666,0.26963385102211745,0.12181956331649531,HC
HC16,-0.7463404583108836,-0.02721958719450852,0.004565577507019041,0.016545997734727532,-0.07166324582593195,-0.6054673796686633,-0.003223782407826391,-0.7463404583108836,-0.02721958719450852,-0.02721958719450852,-0.05713888187380832,0.804200409862473,0.11110440078720535,0.6168536984597657,0.15348260429370633,0.42707809304141664,0.03316713493620225,0.13429533345104416,0.19848601321794032,0.6574213877166449,0.17768552125906556,0.23640744413732387,0.5157737377711705,0.3758230617663978,0.2400001265331637,0.6764475750411773,0.23672164823881867,0.0781260573126411,-0.08854506485648181,0.14701401446604279,0.22515162365142302,0.6867882052646281,0.830284380461918,0.4730409041372986,0.17770595700430622,HC
HC17,-0.81370211167769,-0.03778854110024192,-0.47235411925749343,0.050160327824679295,0.03350199493494901,-0.5089398186857049,-0.007279880046844483,-0.5924765411290255,-0.03778854110024192,-0.03778854110024192,0.004501814455825049,0.6727864383680124,0.12837626328343849,0.5505914720879519,0.17795442822970814,0.33148160557681483,0.026345911949292224,0.18837577809246944,0.22366692899988982,0.6755893891540607,0.26588939130401695,0.22549294563056105,0.5631027623282538,0.3356264557684181,0.14469564709639796,0.6975769308746839,0.2509278840403004,0.2538283634389388,-0.056497962660629106,0.15308189808450998,0.24081780938642858,0.6656105410077527,0.9179929456726489,0.433019457016347,0.21052547308878944,HC
HC18,-0.7984624608357747,-0.034582632382710775,-0.514270026456742,-0.07957870074680874,-0.07047988539650327,-0.5975851292837233,-0.004775615646725609,-0.6964493610745384,-0.034582632382710775,0.06884719598860968,-0.07215785686071817,0.9054406207890159,0.10810549023209891,0.5832912826976155,0.18091376528708655,0.3938664036338067,0.043126785574422094,0.22740046512502177,0.2058879599702965,0.633225206511166,0.19184417380219237,0.20036513488193644,0.4930944538116455,0.3332767278192378,0.16544006022272575,0.6761691526233793,0.15152067163925825,0.1939749968052611,-0.043476513509773836,0.14853547269837541,0.2549761322546572,0.6726010340319677,0.8976579874683378,0.4284789573835431,0.17539800119074447,HC
HC19,-0.757064602500514,-0.026914215966274864,-0.24866601943969724,-0.07721944696024845,0.013668260825307742,-0.5780053856498316,-0.011474430184615286,-0.3669667585272538,-0.026914215966274864,-0.026914215966274864,-0.027776882233444516,0.47239195759222435,0.1050072952000871,0.6007534764520636,0.16369877260837182,0.32263250019239176,0.007993989840583436,0.1298785236011074,0.15754030487768333,0.6113879989189833,0.15632101311323168,0.25445645201347655,0.1695754628915053,0.27109776431060356,0.14091135305500638,0.6881354850011281,0.14773388538746193,0.22504875511199746,-0.0777313727684179,0.1613232123099306,0.21138172385237683,0.7758353051780111,0.7898984450555097,0.5283316562579521,0.17646164894984157,HC
HC20,-0.726045115334647,-0.05350511908531189,-0.2300045539651598,-0.09059292657034737,-0.0656712371962411,-0.5710478176389422,-0.002596008777618408,-0.726045115334647,-0.05350511908531189,-0.05350511908531189,-0.019599854876599904,0.26926929978487857,0.07070474416323012,0.4682414280390566,0.12712866877640872,0.20870808423016823,-0.026640171997528245,0.19969391237106282,0.1810556368652796,0.6372160614313289,0.16242558787331565,0.23022659253911487,0.13809066327412925,0.3537588382403845,0.316331647507414,0.7231036747801654,0.4243718819201595,0.2530395027473101,-0.06867335352898948,0.1558299075921699,0.21397637910672648,0.7450108048339854,0.770685165916744,0.5118473206497863,0.1836147196243598,HC
HC21,-0.7256383848190308,-0.049215605854988104,0.5313518989086151,-0.08689829170703889,-0.08780111134052276,-0.17357789993286132,-0.003292521834373474,-0.7256383848190308,-0.049215605854988104,-0.049215605854988104,-0.02750700857541961,0.5736804867341508,0.08733766497821033,0.5001711787901362,0.1613388233440761,0.31920230904317204,0.002614129486266855,0.10125263377133277,0.16477416813915854,0.5543258803939192,0.15678402797900137,0.21431054864833632,1.0612704105377198,0.40911896226798283,-0.03266681780618856,0.5515086516098153,0.2043634603083489,0.031019429212395692,-0.03331696115232473,0.144308842298524,0.2348446914917163,0.5818552417307714,0.870128109454365,0.4138492816777037,0.1492833392481087,HC
