Sample,CD8_exhausted_like_Exhaustion_scores,CD8_exhausted_like_Apoptosis_scores,CD8_exhausted_like_TCR_signaling_scores,CD8_exhausted_like_Cytotoxic_scores,CD8_exhausted_like_Activation_effector_scores,CD8_exhausted_like_IFN_response_scores
HC32,0.02237327271722997,0.12098549326430971,0.41492165465084263,0.5487836264930391,0.37856091160051014,0.023631950591758665
HC33,0.06713934213305724,0.15623268348136718,0.5302956083420226,0.5625145916388534,0.4479893939944364,0.04711548991876762
HC34,0.06913059099498105,0.18594037207719347,0.46318595708699417,0.7225077960026106,0.38823152155049523,0.07028199760165194
HC35,0.028113966434791568,0.08950715352131805,0.37855630292966785,0.3055781531605999,0.2635175797974579,0.023161805815070092
HC36,0.019026204688699002,0.10636161584292371,0.39460939228205766,0.4676884764762515,0.3400457092180094,0.008452921940359284
HC37,0.041516151284075174,0.16913125759108016,0.3711989703564706,0.6530315106467425,0.34456142276241475,0.012585446703027388
HC38,0.032027925163305104,0.14397692543370955,0.3278468065945273,0.6168374974771907,0.36426719162511556,0.01428944587727021
HC39,0.024209030990901857,0.12234362398520951,0.3815819422371836,0.49073413691376744,0.3181196824967661,0.045234690809304916
HC40,0.046336738074382613,0.15352933238409694,0.5003312581629035,0.5505786920859365,0.4283698125651714,0.013650715309770427
HC41,0.015223003031028496,0.11282365702424804,0.350685241621382,0.5995840788597654,0.3669798477580821,0.023648411752323004
HC42,0.025038069114082552,0.06816371957431717,0.38722058601105497,0.41877355331387156,0.337377066352347,0.05401876197749684
HC43,0.023420712321753683,0.08111786469601168,0.39822544314694935,0.41470906392652956,0.3977142206657854,0.02586399395208217
HC44,0.06945936435878841,0.20436366375964596,0.6002356960025277,0.6823978173054651,0.5751018739634801,0.02348791531980587
HC45,0.0010389096347025659,0.08941957767147003,0.23726975991137642,0.48780176330557184,0.3007518787655914,0.019139472746693583
HC46,0.025196658983295175,0.13523820546900298,0.41497161201628757,0.6346659260328937,0.4722621542730777,0.06076954223064282
HC47,0.040365617947548484,0.08653127728620859,0.360815312230935,0.3968829701803702,0.22979509626981884,0.03022747687057068
HC48,0.05422888669917502,0.15511413283633732,0.3495036347704296,0.568915694630419,0.2458367408733677,0.04790833454031339
HC49,0.03128289100770118,0.17594473904381602,0.4050306302668502,0.7344159685610069,0.4740542139720778,0.057942445249280085
HC50,0.02633503345927622,0.15284570399072758,0.40756598299593927,0.66480385655615,0.455935185006424,0.07215661434629296
HC51,0.029803761312646344,0.10136185246107367,0.2707872101663608,0.5378233712059923,0.32632718340619976,0.019371372194968987
HC52,0.04202914549293116,0.13619273418201622,0.3852336096464439,0.643729843267118,0.3943266907453762,0.03943517333175251
HC53,0.04017281564092515,0.14988995701987912,0.46042392232725604,0.6144185618113945,0.45723048937224187,0.03565123268771096
HC54,0.02296300396368309,0.14540049434905863,0.3815634202223974,0.6755980338351587,0.3872005084445477,0.02801663700139841
M01,0.14309778715850618,0.2745143055170454,0.5695090476876133,1.0124955602793126,0.49270680597373556,0.05637605343394638
M02,0.10616714376018252,0.11793273638815437,0.5330798674453336,0.4805507633292457,0.3351547319810002,-0.026000314846632316
M03,0.12255249550380617,0.16161255827422863,0.5905497306102138,0.636655466296305,0.4047425198530977,9.927612292774085e-05
M04,0.1473095753071258,0.2527173645724898,0.49337014913235977,0.705632821241437,0.3392958249870191,0.04253966990486227
M05,0.1095017911842168,0.2768814833680845,0.5351486251637357,0.8538662573844488,0.40154975547573335,0.011880541910995827
M06,0.06171678318898642,0.05563924718057247,0.6644841317619126,0.36968303813402426,0.5143939932742257,-0.019234919190603987
M07,0.07924891251805496,0.12089151210630734,0.627965430709403,0.46434827481019275,0.48695839299301746,-0.014796600431396125
M08,0.1150889418416798,0.18327648748148118,0.6040791387686877,0.4879768858711149,0.4594140317405235,0.0667146546408485
M09,0.20532584494262648,0.37098981871737857,0.6580893836247231,0.9875020809501404,0.6051008993449526,0.5013321976054849
M10,0.15155867499827413,0.22695520701299085,0.5005139914459904,0.8178795719256745,0.369463021211312,0.05725955517552332
M11,0.19135021966769114,0.27048712631256866,0.630629387088496,0.7498236078844814,0.5186482324052004,0.18297828885802345
M12,0.25041227311081443,0.3442259954930184,0.5903652180545302,1.018141001246423,0.47655557935621046,0.19119965324426005
